Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Vitamin B6,Folsyra,Niacin,Jod,Järn,Tiamin,Varav fleromättat fett,Varav enkelomättat fett,Magnesium,Zink,Fosfor,Natrium,Riboflavin,Kalcium,Kalium,url
Donutkakor choklad 150g ICA,"30,90 kr","0.15kg 206,00 kr/kg",427 kcal,1785 kJ,23 g,12 g,53 g,30 g,4.3 g,0.25 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/donutkakor-choklad-150g-ica/2161819
Majskakor Popcorn 125g Friggs,"27,90 kr","0.125kg 223,20 kr/kg",414 kcal,1740 kJ,14.4 g,1.5 g,65 g,2.2 g,5.7 g,1.8 g,0.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/majskakor-popcorn-125g-friggs/2031617
Pepparkakor Original 400g Annas,"41,90 kr","0.4kg 104,75 kr/kg",471 kcal,1979 kJ,19 g,9 g,70 g,33 g,5.4 g,1.19 g,1.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pepparkakor-original-400g-annas/2063163
Svenskt Lantbröd 800g ICA,"37,90 kr","0.8kg 47,38 kr/kg",230 kcal,950 kJ,3.9 g,0 g,42 g,4.9 g,7.9 g,0.7 g,5.1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/svenskt-lantbr%C3%B6d-800g-ica/2106546
Cookies Vit choklad & tranbär 150g ICA,"25,90 kr","0.15kg 172,67 kr/kg",489 kcal,2049 kJ,23 g,12 g,65 g,45 g,4.9 g,0.66 g,2.3 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cookies-vit-choklad-tranb%C3%A4r-150g-ica/1469732
Grovknäcke Glutenfri 215g Semper,"27,90 kr","0.215kg 129,77 kr/kg",357 kcal,1511 kJ,2 g,0.1 g,77 g,4.2 g,3.5 g,1.3 g,8.5 g,0.22 mg,50 µg,2.4 mg,22.5 µg,5 mg,0.23 mg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grovkn%C3%A4cke-glutenfri-215g-semper/1005317
Dumle Cookies glutenfria 140g Fazer,"63,00 kr","0.14kg 450,00 kr/kg",492 kcal,2058 kJ,22 g,3.2 g,65 g,38 g,7.1 g,1.1 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dumle-cookies-glutenfria-140g-fazer/2155307
Jubileumskaka Vallmo 400 g Polarbröd,"31,90 kr","0.4kg 79,75 kr/kg",290 kcal,1200 kJ,7.1 g,1.1 g,48 g,5.8 g,8.6 g,0.8 g,2.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/jubileumskaka-vallmo-400-g-polarbr%C3%B6d/2140744
Kolakakor Glutenfri 150g Semper,"28,90 kr","0.15kg 192,67 kr/kg",510 kcal,2135 kJ,26 g,18 g,67 g,23 g,1.5 g,1.1 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kolakakor-glutenfri-150g-semper/1004744
Små kanelbullar 260g Pågen,"38,90 kr","0.26kg 149,62 kr/kg",372 kcal,1563 kJ,14 g,2.7 g,54 g,17 g,7.2 g,0.58 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%A5-kanelbullar-260g-p%C3%A5gen/2118539
Mini Marängtoppar 100g ICA,"35,90 kr","0.1kg 359,00 kr/kg",397 kcal,1686 kJ,0.1 g,0.1 g,94 g,81 g,5.1 g,0.11 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mini-mar%C3%A4ngtoppar-100g-ica/2015742
Havssalt & frön 180g Leksands Tre Kullor,"51,00 kr","0.18kg 283,33 kr/kg",480 kcal,2010 kJ,27 g,3.8 g,38 g,4.3 g,18 g,2.3 g,7.9 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havssalt-fr%C3%B6n-180g-leksands-tre-kullor/1471826
Choco Brookie 132 g Marabou,"43,90 kr","0.132kg 332,58 kr/kg",466 kcal,1949 kJ,26 g,12 g,54 g,35 g,5.2 g,0.43 g,1.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/choco-brookie-132-g-marabou/2140649
Digestive Original 400g Mc Vities,"27,90 kr","0.4kg 69,75 kr/kg",483 kcal,2023 kJ,21.8 g,10.3 g,62.7 g,16.8 g,6.9 g,1.5 g,3.4 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/digestive-original-400g-mc-vities/1387195
Cookies vitchoklad citron 150g ICA,"25,90 kr","0.15kg 172,67 kr/kg",521 kcal,2177 kJ,28 g,14 g,61 g,39 g,5.4 g,0.5 g,1.1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cookies-vitchoklad-citron-150g-ica/2101086
Grahamsbröd 650g Pågen,"43,90 kr","0.65kg 67,54 kr/kg",247 kcal,1041 kJ,2.9 g,0.4 g,40 g,5.6 g,12 g,1.2 g,6.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grahamsbr%C3%B6d-650g-p%C3%A5gen/2151042
Tuc Original 100g Lu,"17,90 kr","0.1kg 179,00 kr/kg",482 kcal,2021 kJ,19 g,9 g,67 g,7.1 g,8.3 g,1.7 g,2.4 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tuc-original-100g-lu/1364954
Grovt Surdegsbröd Fryst Glutenfri 500g Fria,"61,00 kr","0.5kg 122,00 kr/kg",300 kcal,1250 kJ,13 g,1.6 g,35 g,4.6 g,6.1 g,1.3 g,11.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grovt-surdegsbr%C3%B6d-fryst-glutenfri-500g-fria/2005000
Donut Wild Fruits 70 g Dafgård,"14,90 kr","0.07kg 212,86 kr/kg",405 kcal,1692 kJ,22 g,12 g,47 g,26 g,4.4 g,0.75 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/donut-wild-fruits-70-g-dafg%C3%A5rd/2140882
Chokladfondant Fryst 2-p 140g ICA,"44,90 kr","0.14kg 320,71 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladfondant-fryst-2-p-140g-ica/1527690
Tunt knäckebröd Ekologisk 250g ICA I love eco,"30,90 kr","0.25kg 123,60 kr/kg",356 kcal,1498 kJ,5.4 g,0.9 g,59 g,1.3 g,10 g,1.3 g,16 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tunt-kn%C3%A4ckebr%C3%B6d-ekologisk-250g-ica-i-love-eco/1367879
Kakor Choklad 176g Brago,"29,90 kr","0.175kg 170,86 kr/kg",486 kcal,2040 kJ,21 g,8 g,67 g,30 g,6.9 g,0.6 g,2.6 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kakor-choklad-176g-brago/2091808
Riskakor med Pizzasmak 125g Friggs,"28,90 kr","0.125kg 231,20 kr/kg",450 kcal,1900 kJ,17 g,2.1 g,64 g,3.9 g,8.1 g,1.6 g,3.2 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/riskakor-med-pizzasmak-125g-friggs/1005358
Lyxbulle Blåbär & Vanilj 100g Dafgårds,"14,90 kr","0.1kg 149,00 kr/kg",280 kcal,1200 kJ,6.8 g,3.4 g,48 g,20 g,5.5 g,0.28 g,1.4 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lyxbulle-bl%C3%A5b%C3%A4r-vanilj-100g-dafg%C3%A5rds/2128494
Cantuccini Mandel 250gZeta,"48,90 kr","0.25kg 195,60 kr/kg",451 kcal,1896 kJ,15 g,2.6 g,68 g,35 g,9.2 g,0.91 g,3.6 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cantuccini-mandel-250gzeta/2168440
Saltiner 150g Göteborgs,"27,90 kr","0.15kg 186,00 kr/kg",489 kcal,2046 kJ,23 g,11 g,61 g,3.8 g,7.7 g,2.8 g,2.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/saltiner-150g-g%C3%B6teborgs/1005069
Frasiga Våfflor 200g Liba Bröd,"25,90 kr","0.2kg 129,50 kr/kg",473 kcal,1972 kJ,27 g,8.7 g,48 g,31 g,8 g,0.99 g,1.1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/frasiga-v%C3%A5fflor-200g-liba-br%C3%B6d/2128024
Majskakor Chiafrö & havssalt Glutenfri 130g Friggs,"32,90 kr","0.13kg 253,08 kr/kg",383 kcal,1618 kJ,3.2 g,0.5 g,76 g,2.2 g,8.5 g,1 g,8.1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/majskakor-chiafr%C3%B6-havssalt-glutenfri-130g-friggs/1478802
Svenskt Lantbröd 800g ICA,"37,90 kr","0.8kg 47,38 kr/kg",230 kcal,950 kJ,3.9 g,0.5 g,42 g,4.9 g,7.9 g,0.7 g,5.1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/svenskt-lantbr%C3%B6d-800g-ica/2161894
Brungräddat Knäckebröd Trekant 200g Leksands Knäckebröd,"16,90 kr","0.2kg 84,50 kr/kg",350 kcal,1400 kJ,1.6 g,0.3 g,60 g,0.5 g,8.9 g,1.2 g,20 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/brungr%C3%A4ddat-kn%C3%A4ckebr%C3%B6d-trekant-200g-leksands-kn%C3%A4ckebr%C3%B6d/1007523
Kakor Piruett med Chokladsmak 110g Semper,"40,90 kr","0.11kg 371,82 kr/kg",472 kcal,1982 kJ,18 g,15 g,73 g,22 g,3.6 g,0.55 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kakor-piruett-med-chokladsmak-110g-semper/1414331
Salinis Glutenfri 60g Schär,"21,90 kr","0.06kg 365,00 kr/kg",482 kcal,2022 kJ,21 g,9.9 g,72 g,2 g,0.9 g,2.5 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salinis-glutenfri-60g-sch%C3%A4r/1294969
Skogaholmsruta 6-p 420g Skogaholms,"37,90 kr","0.42kg 90,24 kr/kg",310 kcal,1300 kJ,3.7 g,0.5 g,58 g,11 g,9.3 g,1 g,3.4 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skogaholmsruta-6-p-420g-skogaholms/2118436
Jubileumskaka 400g Polarbröd,"32,90 kr","0.4kg 82,25 kr/kg",290 kcal,1200 kJ,6.6 g,0.8 g,46 g,5.1 g,9 g,0.73 g,2.6 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/jubileumskaka-400g-polarbr%C3%B6d/1423262
Smördegsstänger Twist ost 125g ICA,"37,90 kr","0.125kg 303,20 kr/kg",490 kcal,2050 kJ,24 g,16 g,55 g,2 g,12 g,2 g,3.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6rdegsst%C3%A4nger-twist-ost-125g-ica/2038663
Kladdkaka 1-p 80g Bonjour,"14,90 kr","0.08kg 186,25 kr/kg",419 kcal,1756 kJ,18 g,2.2 g,57 g,43 g,6.2 g,0.45 g,2.3 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kladdkaka-1-p-80g-bonjour/2010164
Tunnbröd 330g Gene,"36,90 kr","0.33kg 111,82 kr/kg",330 kcal,1400 kJ,1.9 g,0.4 g,66 g,1.4 g,11 g,0.53 g,3.2 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tunnbr%C3%B6d-330g-gene/1007736
Somun Bröd Fryst 400g Plivit,"21,90 kr","0.4kg 54,75 kr/kg",237 kcal,994 kJ,1.9 g,0.19 g,50.16 g,0.88 g,6.28 g,1.08 g,2.11 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/somun-br%C3%B6d-fryst-400g-plivit/1333596
Sockerkaka 350g ICA Basic,"19,90 kr","0.35kg 56,86 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sockerkaka-350g-ica-basic/1439584
Skånskt Surdegsbröd Råg 750g ICA,"43,90 kr","0.75kg 58,53 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sk%C3%A5nskt-surdegsbr%C3%B6d-r%C3%A5g-750g-ica/2015887
Mjuk Chokladkaka 350g ICA Basic,"19,90 kr","0.35kg 56,86 kr/kg",413 kcal,1733 kJ,18 g,1.7 g,57 g,33 g,4.9 g,0.78 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mjuk-chokladkaka-350g-ica-basic/2116316
Bulle Vanillas 220g Pågen,"38,90 kr","0.22kg 176,82 kr/kg",288 kcal,1214 kJ,6.5 g,2 g,50 g,16 g,6.5 g,0.53 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bulle-vanillas-220g-p%C3%A5gen/2075674
Rågknäcke 375g KRAV ICA I love eco,"43,90 kr","0.375kg 117,07 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%A5gkn%C3%A4cke-375g-krav-ica-i-love-eco/1389509
Gourmet Tranbärsbröd 350g Bonjour,"39,90 kr","0.35kg 114,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gourmet-tranb%C3%A4rsbr%C3%B6d-350g-bonjour/1428608
Färskt Bröd Classic 300g Schär,"53,00 kr","0.3kg 176,67 kr/kg",233 kcal,981 kJ,3.4 g,0.4 g,43 g,3.3 g,3.5 g,0.99 g,8.1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rskt-br%C3%B6d-classic-300g-sch%C3%A4r/1489078
Minimajskakor Ranch 50g ICA,"19,90 kr","0.05kg 398,00 kr/kg",410 kcal,1734 kJ,7.5 g,1 g,78 g,3.6 g,6.8 g,1.4 g,1.8 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/minimajskakor-ranch-50g-ica/2150185
Riskakor 130g ICA Basic,"17,90 kr","0.13kg 137,69 kr/kg",379 kcal,1605 kJ,3.2 g,0.7 g,77 g,0.6 g,8.7 g,0.31 g,3.6 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/riskakor-130g-ica-basic/2099501
Cookies Trippelchoklad 180g ICA,"25,90 kr","0.18kg 143,89 kr/kg",510 kcal,2134 kJ,27 g,14 g,61 g,36 g,6 g,0.63 g,2.6 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cookies-trippelchoklad-180g-ica/1469734
Daim cookies 184g Marabou,"43,90 kr","0.184kg 238,59 kr/kg",500 kcal,2100 kJ,26 g,13.5 g,60 g,34 g,4.8 g,1.38 g,1.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/daim-cookies-184g-marabou/1425257
Donut Socker 50 g Dafgård,"14,90 kr","0.05kg 298,00 kr/kg",308 kcal,1344 kJ,12.6 g,5.6 g,43.8 g,13.5 g,6.4 g,0.9 g,1.7 g,,,,,,,2 g,5 g,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/donut-socker-50-g-dafg%C3%A5rd/2140857
Mazariner choklad 220g ICA,"28,90 kr","0.22kg 131,36 kr/kg",369 kcal,1548 kJ,17 g,7.6 g,50 g,38 g,3.6 g,0.28 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mazariner-choklad-220g-ica/2099369
Havrekakor Choklad 90g ICA,"15,90 kr","0.09kg 176,67 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havrekakor-choklad-90g-ica/2052669
Korvbröd 8-p 336g Pågen,"39,90 kr","0.336kg 118,75 kr/kg",305 kcal,1278 kJ,6.6 g,0.8 g,51 g,8.6 g,8.6 g,0.71 g,2.2 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/korvbr%C3%B6d-8-p-336g-p%C3%A5gen/1396544
Havretunnbröd 120g Mjälloms,"25,90 kr","0.12kg 215,83 kr/kg",370 kcal,1550 kJ,3.3 g,0.6 g,63 g,2.5 g,13 g,1.1 g,6 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havretunnbr%C3%B6d-120g-mj%C3%A4lloms/1440857
"JätteFranska Rostbröd 1,1kg Pågen","43,90 kr","1.1kg 39,91 kr/kg",269 kcal,1139 kJ,3.7 g,0.4 g,50 g,2.7 g,7.8 g,1.4 g,2.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/j%C3%A4ttefranska-rostbr%C3%B6d-1-1kg-p%C3%A5gen/2010293
Guld Marie 200g Göteborgs,"16,90 kr","0.2kg 84,50 kr/kg",460 kcal,1950 kJ,14 g,1.1 g,75 g,19 g,8.4 g,1.1 g,2.8 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/guld-marie-200g-g%C3%B6teborgs/1005198
Fyllda cookies Kola & choklad 175g ICA,"25,90 kr","0.175kg 148,00 kr/kg",508 kcal,2124 kJ,26 g,14 g,63 g,40 g,4.7 g,0.54 g,2.1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fyllda-cookies-kola-choklad-175g-ica/1470190
Punschrulle 1-p 48g Delicato,"9,90 kr","0.048kg 206,25 kr/kg",450 kcal,1800 kJ,20 g,8 g,59 g,37 g,5 g,0.2 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/punschrulle-1-p-48g-delicato/1026164
Blåbärsmuffins frystinad 100g Bonjour,"13,90 kr","0.1kg 139,00 kr/kg",389 kcal,1629 kJ,19 g,2.2 g,49 g,29 g,5.2 g,1.06 g,1.2 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bl%C3%A5b%C3%A4rsmuffins-frystinad-100g-bonjour/2117952
Råglevain 600g ICA Selection,"43,90 kr","0.6kg 73,17 kr/kg",194 kcal,820 kJ,1 g,0.5 g,38 g,0.5 g,6.4 g,1.3 g,3.6 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%A5glevain-600g-ica-selection/2057551
Fäbodknäcke Surdegsbröd 730g Leksands Knäckebröd,"66,00 kr","0.73kg 90,41 kr/kg",350 kcal,1450 kJ,3.7 g,0.5 g,59 g,2.6 g,11 g,1.2 g,23 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4bodkn%C3%A4cke-surdegsbr%C3%B6d-730g-leksands-kn%C3%A4ckebr%C3%B6d/1382684
Riskakor med Ostsmak 125g Friggs,"28,90 kr","0.125kg 231,20 kr/kg",440 kcal,1850 kJ,16 g,2 g,65 g,5 g,8.5 g,1.6 g,2.9 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/riskakor-med-ostsmak-125g-friggs/1006238
Oststänger 100g ICA Selection,"32,90 kr","0.1kg 329,00 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ostst%C3%A4nger-100g-ica-selection/2032975
Riskakor 130g ICA I love eco,"22,90 kr","0.13kg 176,15 kr/kg",1605 kcal,379 kJ,3.2 g,0.7 g,77 g,0.6 g,8.7 g,0.3 g,3.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/riskakor-130g-ica-i-love-eco/2099500
Havre & Linskex Ranch 100g Göteborgs,"35,90 kr","0.1kg 359,00 kr/kg",462 kcal,1935 kJ,17 g,1.7 g,60 g,6.6 g,14 g,1.4 g,7.4 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havre-linskex-ranch-100g-g%C3%B6teborgs/2106931
Double stuff cookies 157g Oreo,"31,90 kr","0.157kg 203,18 kr/kg",494 kcal,2071 kJ,22 g,7.2 g,68 g,43 g,4.2 g,0.57 g,2.1 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/double-stuff-cookies-157g-oreo/1491210
Chokladmuffins Krämfyllda 8-pack 240g ICA,"38,90 kr","0.24kg 162,08 kr/kg",475 kcal,1982 kJ,30 g,7.8 g,48 g,33 g,2.8 g,1 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladmuffins-kr%C3%A4mfyllda-8-pack-240g-ica/2067000
Hallonrulltårta 360g ICA,"38,90 kr","0.36kg 108,06 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hallonrullt%C3%A5rta-360g-ica/1361686
Hamburgerbröd 8-p 416g Pågen,"41,90 kr","0.416kg 100,72 kr/kg",309 kcal,1293 kJ,6.8 g,0.8 g,50 g,8 g,9 g,0.74 g,2.3 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hamburgerbr%C3%B6d-8-p-416g-p%C3%A5gen/1396550
