Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Vitamin B6,Folsyra,Niacin,Jod,Järn,Tiamin,Varav fleromättat fett,Varav enkelomättat fett,Magnesium,Zink,Fosfor,Natrium,Riboflavin,Kalcium,Kalium,url
Delicatoboll utan tillsatt socker 6-p 240g Delicato,"33,90 kr","0.24kg 141,25 kr/kg",440 kcal,1850 kJ,31 g,17 g,46 g,0.8 g,4.8 g,0.5 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/delicatoboll-utan-tillsatt-socker-6-p-240g-delicato/1526750
Knäckebröd Din Stund Mini Chia & Havssalt 270g Wasa,"44,90 kr","0.27kg 166,30 kr/kg",346 kcal,1454 kJ,3.6 g,0.5 g,57.3 g,0.2 g,10.5 g,1.25 g,21 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kn%C3%A4ckebr%C3%B6d-din-stund-mini-chia-havssalt-270g-wasa/2080288
Digestive doppade i mjölkchoklad 300g ICA,"27,90 kr","0.3kg 93,00 kr/kg",498 kcal,2085 kJ,24 g,13 g,63 g,28 g,6.3 g,0.62 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/digestive-doppade-i-mj%C3%B6lkchoklad-300g-ica/2091069
Knäckebröd Naturell glutenfri 240g Wasa,"36,90 kr","0.24kg 153,75 kr/kg",395 kcal,1663 kJ,8 g,1.2 g,72.8 g,3.1 g,4 g,1.1 g,7.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kn%C3%A4ckebr%C3%B6d-naturell-glutenfri-240g-wasa/2005899
Knäckebröd Havre 300g Wasa,"33,90 kr","0.3kg 113,00 kr/kg",366 kcal,1546 kJ,5 g,1 g,64 g,0.5 g,12 g,1.2 g,10 g,,,,,3.3 mg,,,,90 mg,2.5 mg,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kn%C3%A4ckebr%C3%B6d-havre-300g-wasa/2107005
Pepparkakor Orginal Glutenfri 150g Semper,"28,90 kr","0.15kg 192,67 kr/kg",475 kcal,1995 kJ,18 g,14 g,73 g,18 g,4.3 g,1.1 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pepparkakor-orginal-glutenfri-150g-semper/1005678
Kakor Chocolate & Hazelnut 136g Maryland,"19,90 kr","0.136kg 146,32 kr/kg",507 kcal,2123 kJ,25.2 g,11.8 g,62.9 g,33.5 g,5.7 g,0.57 g,3 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kakor-chocolate-hazelnut-136g-maryland/2039480
Spritsade kakor 400g ICA Basic,"25,90 kr","0.4kg 64,75 kr/kg",550 kcal,2250 kJ,31 g,16 g,58 g,22 g,5 g,0.6 g,1.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/spritsade-kakor-400g-ica-basic/1418222
Syltkakor 300g ICA,"27,90 kr","0.3kg 93,00 kr/kg",511 kcal,2134 kJ,29 g,13 g,57 g,22 g,5.4 g,0.48 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/syltkakor-300g-ica/2022175
Maamoul Tamer 70g Liba Bröd,"11,90 kr","0.07kg 170,00 kr/kg",370 kcal,1550 kJ,12 g,4 g,59 g,38 g,4.3 g,0.2 g,3.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/maamoul-tamer-70g-liba-br%C3%B6d/2128029
Schwarzwaldtårta Fryst 400g Frödinge,"83,00 kr","0.4kg 207,50 kr/kg",364 kcal,1525 kJ,24 g,15 g,35 g,34 g,2.3 g,0.14 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/schwarzwaldt%C3%A5rta-fryst-400g-fr%C3%B6dinge/1006412
Vetekaka 900g ICA,"38,90 kr","0.9kg 43,22 kr/kg",287 kcal,1213 kJ,6.3 g,0.8 g,48 g,6.3 g,8.3 g,0.6 g,2.8 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vetekaka-900g-ica/2106322
Lantknäcke Glutenfri 230g Semper,"37,90 kr","0.23kg 164,78 kr/kg",346 kcal,1484 kJ,0.5 g,0.2 g,77 g,4 g,3.3 g,1.2 g,10 g,0.22 mg,40 µg,2.4 mg,22.5 µg,5.8 mg,0.23 mg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lantkn%C3%A4cke-glutenfri-230g-semper/1335443
Kakor Dark Chocolate 230g Wasa,"32,90 kr","0.23kg 143,04 kr/kg",457 kcal,1913 kJ,19 g,3.6 g,59 g,29 g,9 g,0.32 g,9 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kakor-dark-chocolate-230g-wasa/2085252
Cookies choklad 150g ICA,"25,90 kr","0.15kg 172,67 kr/kg",497 kcal,2077 kJ,25 g,14 g,60 g,36 g,5.4 g,0.67 g,3.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cookies-choklad-150g-ica/2101087
Liten Sirapslimpa 600g ICA Selection,"32,90 kr","0.6kg 54,83 kr/kg",249 kcal,1053 kJ,2.4 g,1 g,48 g,10 g,7 g,0.92 g,3.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/liten-sirapslimpa-600g-ica-selection/2116319
Pärlboll 58g Delicato,"9,90 kr","0.058kg 170,69 kr/kg",480 kcal,2000 kJ,27 g,14 g,54 g,38 g,5 g,0.4 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/p%C3%A4rlboll-58g-delicato/1023898
Superbröd Tranbär 350g Da Carla,"44,90 kr","0.35kg 128,29 kr/kg",356 kcal,1474 kJ,25.8 g,2.5 g,16.5 g,2.4 g,8.8 g,0.88 g,11.2 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/superbr%C3%B6d-tranb%C3%A4r-350g-da-carla/2100610
Havredigestive Glutenfri 150g Semper,"29,90 kr","0.15kg 199,33 kr/kg",479 kcal,2008 kJ,20 g,15 g,68 g,11 g,5.1 g,1.5 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredigestive-glutenfri-150g-semper/1330637
Cookies Nougat 175g ICA,"25,90 kr","0.175kg 148,00 kr/kg",520 kcal,2150 kJ,27 g,12 g,60 g,40 g,5.7 g,0.6 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cookies-nougat-175g-ica/2038500
Bröd Havre God 550g Hatting,"38,90 kr","0.55kg 70,73 kr/kg",242 kcal,1022 kJ,3.5 g,0.6 g,37 g,2.6 g,13 g,1.1 g,6 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/br%C3%B6d-havre-god-550g-hatting/2016179
Wafers med kolasmak 240g ICA Basic,"37,90 kr","0.24kg 157,92 kr/kg",535 kcal,2231 kJ,32 g,24 g,55 g,41 g,5.5 g,0.15 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/wafers-med-kolasmak-240g-ica-basic/2116318
Maränger 120g ICA,"28,90 kr","0.12kg 240,83 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mar%C3%A4nger-120g-ica/1346026
Veteskorpor 400g ICA,"41,90 kr","0.4kg 104,75 kr/kg",410 kcal,1700 kJ,9.2 g,1.3 g,69 g,11 g,11 g,1 g,4.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/veteskorpor-400g-ica/1401217
Gifflar Kanel 300g Pågen,"33,90 kr","0.3kg 113,00 kr/kg",373 kcal,1559 kJ,14 g,2.5 g,52 g,19 g,7.3 g,0.76 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gifflar-kanel-300g-p%C3%A5gen/2058168
Kakor Double Chocolate 136g Maryland,"19,90 kr","0.136kg 146,32 kr/kg",487 kcal,2044 kJ,22.9 g,11.6 g,62.9 g,34.2 g,5.6 g,0.41 g,3.3 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kakor-double-chocolate-136g-maryland/2041002
Ciabatta 2-p 150g ICA,"20,90 kr","0.15kg 139,33 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ciabatta-2-p-150g-ica/1531046
Söta kex fyllda kakor Browniesmak 205g Ballerina,"27,90 kr","0.205kg 136,10 kr/kg",499 kcal,2086 kJ,25 g,15 g,61 g,32 g,6 g,0.63 g,4 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/s%C3%B6ta-kex-fyllda-kakor-browniesmak-205g-ballerina/2168435
Sandwich Pesto 2-p Wasa,"11,90 kr","0.037kg 321,62 kr/kg",458 kcal,1915 kJ,21 g,7 g,54 g,1.8 g,7.8 g,1.4 g,10 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sandwich-pesto-2-p-wasa/2117814
Kex Rye snack Sour creme & onion 150g Finn crisp,"32,90 kr","0.15kg 219,33 kr/kg",399 kcal,1668 kJ,11 g,1.1 g,57 g,2.3 g,9.2 g,1.4 g,17 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kex-rye-snack-sour-creme-onion-150g-finn-crisp/2045028
Fröknäcke Ört & havssalt 220g Sigdal Bakeri,"46,90 kr","0.22kg 213,18 kr/kg",488 kcal,2032 kJ,26.6 g,3.4 g,37.1 g,1.7 g,18.2 g,1.8 g,13.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fr%C3%B6kn%C3%A4cke-%C3%B6rt-havssalt-220g-sigdal-bakeri/1486063
Biskvi 6-p 150g Delicato,"36,90 kr","0.15kg 246,00 kr/kg",500 kcal,2000 kJ,31 g,18 g,49 g,37 g,4.4 g,0.1 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/biskvi-6-p-150g-delicato/1416855
Majskakor Dill/Gräslök 125g Friggs,"27,90 kr","0.125kg 223,20 kr/kg",439 kcal,1849 kJ,13 g,1.1 g,73 g,2.1 g,6.4 g,1.4 g,1.8 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/majskakor-dill-gr%C3%A4sl%C3%B6k-125g-friggs/2150760
Croissant Cocoa King 87g Bonjour,"14,90 kr","0.087kg 171,26 kr/kg",372 kcal,1555 kJ,22 g,12 g,37 g,36 g,7.8 g,0.23 g,2.3 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/croissant-cocoa-king-87g-bonjour/2063095
Delicatoboll 6-p 240g Delicato,"30,90 kr","0.24kg 128,75 kr/kg",480 kcal,2000 kJ,30 g,18 g,49 g,30 g,5 g,0.4 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/delicatoboll-6-p-240g-delicato/1024428
Hamburgerbröd Frisco 4-p 324g Korvbrödsbagarn,"31,90 kr","0.324kg 98,46 kr/kg",290 kcal,1223 kJ,5 g,0.9 g,49 g,4.9 g,11 g,1.53 g,2 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hamburgerbr%C3%B6d-frisco-4-p-324g-korvbr%C3%B6dsbagarn/1344397
Vaniljmunk 63g Familjen Dafgård,"14,90 kr","0.063kg 236,51 kr/kg",313 kcal,1302 kJ,15.5 g,6.3 g,36.8 g,13.3 g,5.6 g,0.7 g,1.3 g,,,,,,,2.6 g,6.6 g,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vaniljmunk-63g-familjen-dafg%C3%A5rd/2140863
Hönö Jollekaka 400g Pågen,"33,90 kr","0.4kg 84,75 kr/kg",296 kcal,1238 kJ,4.5 g,0.5 g,52 g,9.7 g,9.1 g,0.75 g,3.3 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/h%C3%B6n%C3%B6-jollekaka-400g-p%C3%A5gen/2075665
Pepparkakor original 150g Nyåkers,"17,90 kr","0.15kg 119,33 kr/kg",460 kcal,1960 kJ,16 g,6.9 g,76 g,34 g,4.6 g,,,,,,,,,,,,,,2.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pepparkakor-original-150g-ny%C3%A5kers/2100590
Naan bröd Original 260g Santa Maria,"40,90 kr","0.26kg 157,31 kr/kg",268 kcal,1134 kJ,4 g,0.5 g,48 g,2.1 g,8 g,0.57 g,3.8 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/naan-br%C3%B6d-original-260g-santa-maria/2139180
Snack rån med nötkräm och choklad 105 g Schär,"37,90 kr","0.105kg 360,95 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/snack-r%C3%A5n-med-n%C3%B6tkr%C3%A4m-och-choklad-105-g-sch%C3%A4r/1384809
Välkryddade Pepparkakor 300g Kung Oscar,"37,90 kr","0.3kg 126,33 kr/kg",458 kcal,1924 kJ,16 g,1.6 g,72 g,35 g,5.4 g,1.2 g,1.3 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/v%C3%A4lkryddade-pepparkakor-300g-kung-oscar/2100613
Baguette Vete 400g Bonjour,"16,90 kr","0.4kg 42,25 kr/kg",240 kcal,1028 kJ,1.2 g,0.3 g,47 g,0.3 g,8.7 g,1.1 g,3.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/baguette-vete-400g-bonjour/2032443
Grötbröd 780g Pågen,"47,90 kr","0.78kg 61,41 kr/kg",266 kcal,1114 kJ,4.7 g,0.6 g,42 g,4.9 g,11 g,1 g,5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%B6tbr%C3%B6d-780g-p%C3%A5gen/2044679
Chokladmuffins 100g Dan Cake,"14,90 kr","0.1kg 149,00 kr/kg",390 kcal,1632 kJ,20 g,2.8 g,48 g,26 g,4.8 g,1 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladmuffins-100g-dan-cake/2141927
Färskt Bröd Mehrkorn 300g Schär,"53,00 kr","0.3kg 176,67 kr/kg",249 kcal,1044 kJ,6.6 g,0.8 g,38 g,4.1 g,4.5 g,0.97 g,9.9 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rskt-br%C3%B6d-mehrkorn-300g-sch%C3%A4r/1489079
Ungerskt bröd 420g Bonjour,"39,90 kr","0.45kg 88,67 kr/kg",240 kcal,1003 kJ,0.9 g,0.1 g,49 g,0.4 g,6.6 g,1.4 g,3.9 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ungerskt-br%C3%B6d-420g-bonjour/1428614
Knäckebröd Frukost 240g Wasa,"25,90 kr","0.24kg 107,92 kr/kg",405 kcal,1707 kJ,9 g,1 g,66 g,3.5 g,12 g,1.1 g,6 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kn%C3%A4ckebr%C3%B6d-frukost-240g-wasa/1001954
Churros 300 g Aviko,"36,90 kr","0.3kg 123,00 kr/kg",331 kcal,1383 kJ,18 g,2.1 g,36 g,5.2 g,4.9 g,0.93 g,2.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/churros-300-g-aviko/2115491
Mandeltårta Glutenfri Fryst 400g Almondy,"75,00 kr","0.4kg 187,50 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mandelt%C3%A5rta-glutenfri-fryst-400g-almondy/1345327
Pinsabotten Glutenfri 180g Zeta,"61,00 kr","0.18kg 338,89 kr/kg",220 kcal,979 kJ,6.3 g,0.7 g,40 g,2 g,2.2 g,1.8 g,3.7 g,,,,,,,,,,,,0.72 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pinsabotten-glutenfri-180g-zeta/2154355
Linfröknäcke från Dalarna Glutenfri 230g Semper,"40,90 kr","0.23kg 177,83 kr/kg",360 kcal,1523 kJ,3 g,0.2 g,76 g,4 g,3.3 g,1.3 g,8 g,0.22 mg,40 µg,2.4 mg,22.5 µg,5 mg,0.23 mg,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/linfr%C3%B6kn%C3%A4cke-fr%C3%A5n-dalarna-glutenfri-230g-semper/1423172
Cheesecake Naturell Fryst 400g ICA,"80,00 kr","0.4kg 200,00 kr/kg",330 kcal,1350 kJ,19 g,8.8 g,33 g,21 g,5.1 g,,0.4 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cheesecake-naturell-fryst-400g-ica/1470892
Sandwich Pizza 37g Wasa,"11,90 kr","0.037kg 321,62 kr/kg",451 kcal,1885 kJ,21 g,7.3 g,47.2 g,4 g,11.6 g,1.13 g,13.5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sandwich-pizza-37g-wasa/2085185
Baguetter 2-p 300g ICA,"20,90 kr","0.3kg 69,67 kr/kg",251 kcal,1064 kJ,0.9 g,0.5 g,51 g,1 g,8.3 g,1.2 g,2.2 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/baguetter-2-p-300g-ica/2084605
Cookies Ljus & mörk choklad Glutenfri 150g ICA,"43,90 kr","0.15kg 292,67 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cookies-ljus-m%C3%B6rk-choklad-glutenfri-150g-ica/2046545
Miniwafers med choklad 250g ICA,"29,90 kr","0.25kg 119,60 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/miniwafers-med-choklad-250g-ica/1526787
Digestive 160g Semper,"29,90 kr","0.16kg 186,88 kr/kg",474 kcal,1992 kJ,18 g,14 g,74 g,12 g,3.3 g,1.5 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/digestive-160g-semper/2120720
Kaka Chokladsnitt 300g ICA,"27,90 kr","0.3kg 93,00 kr/kg",532 kcal,2224 kJ,29 g,13 g,63 g,32 g,5.2 g,0.4 g,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kaka-chokladsnitt-300g-ica/2022177
Rågkusar 6-p 338g Fazer,"42,90 kr","0.338kg 126,92 kr/kg",240 kcal,1000 kJ,2 g,0.5 g,44 g,1.2 g,7.1 g,1.2 g,11 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%A5gkusar-6-p-338g-fazer/1465167
Italiensk Lantbröd Osötat 650g Pågen,"46,90 kr","0.65kg 72,15 kr/kg",266 kcal,1125 kJ,2.7 g,0.5 g,48 g,2.7 g,11 g,1.2 g,4.2 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/italiensk-lantbr%C3%B6d-os%C3%B6tat-650g-p%C3%A5gen/2063074
Knäckebröd Delikatess 270g Wasa,"26,90 kr","0.27kg 99,63 kr/kg",330 kcal,1400 kJ,1.5 g,0.3 g,60 g,2 g,9 g,1 g,22 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kn%C3%A4ckebr%C3%B6d-delikatess-270g-wasa/1245087
Släta bullar 4-p 240g Hans och greta,"44,90 kr","0.24kg 187,08 kr/kg",,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sl%C3%A4ta-bullar-4-p-240g-hans-och-greta/1500796
Hamburgerbröd Brioche Gourmet 4-p 320g Pågen,"41,90 kr","0.32kg 130,94 kr/kg",295 kcal,1233 kJ,6.5 g,0.8 g,48 g,8.9 g,8.8 g,0.89 g,2.7 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hamburgerbr%C3%B6d-brioche-gourmet-4-p-320g-p%C3%A5gen/1531085
Knäckebröd Sesam 250g Ryvita,"30,90 kr","0.25kg 123,60 kr/kg",357 kcal,1497 kJ,6.9 g,1.1 g,48 g,3.2 g,13 g,0.68 g,25 g,,,,,4.2 mg,,,,153 mg,3.3 mg,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kn%C3%A4ckebr%C3%B6d-sesam-250g-ryvita/1002302
Toastbröd 500g ICA,"25,90 kr","0.5kg 51,80 kr/kg",258 kcal,1092 kJ,1.9 g,0.5 g,50 g,2.5 g,8.8 g,1.1 g,2.4 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/toastbr%C3%B6d-500g-ica/2057523
Skanörgrova 550 g Pågen,"40,90 kr","0.55kg 74,36 kr/kg",308 kcal,1294 kJ,7.8 g,0.9 g,48 g,9.1 g,10 g,1.4 g,6 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skan%C3%B6rgrova-550-g-p%C3%A5gen/2128401
Ostfralla 70 g Bonjour,"12,90 kr","0.07kg 184,29 kr/kg",287 kcal,1215 kJ,4.2 g,2.2 g,50 g,1.8 g,11 g,1.7 g,2.3 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ostfralla-70-g-bonjour/2128471
Donut Choklad 55 g Dafgård,"14,90 kr","0.055kg 270,91 kr/kg",355 kcal,1495 kJ,18 g,11.3 g,41.6 g,13.3 g,6.7 g,0.9 g,1.5 g,,,,,,,1.8 g,4.9 g,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/donut-choklad-55-g-dafg%C3%A5rd/2140856
Chokladbollar 6-p 240g ICA,"15,00 kr","0.24kg 62,50 kr/kg",481 kcal,2006 kJ,27 g,13 g,51 g,31 g,5.7 g,0.43 g,5 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chokladbollar-6-p-240g-ica/1407206
Småbröd med topping 6-p 300g ICA,"32,90 kr","0.3kg 109,67 kr/kg",300 kcal,1250 kJ,2.6 g,0.5 g,54 g,4.9 g,12 g,1 g,3.8 g,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%A5br%C3%B6d-med-topping-6-p-300g-ica/1531041
