Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Protein,Salt,Fiber,Vitamin D,Kalcium,Järn,Natrium,Zink,Varav fleromättat fett,Varav enkelomättat fett,Selen,url
Kotlett Färsk Skivad Benfri 300g ICA,"56,00 kr","0.3kg 186,67 kr/kg",130 kcal,550 kJ,6 g,2.6 g,0 g,0 g,20 g,0.2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kotlett-f%C3%A4rsk-skivad-benfri-300g-ica/1512843
Kycklingbröstfilé Färsk 720g ICA Gott Liv,"107,00 kr","0.72kg 148,61 kr/kg",105 kcal,437 kJ,1.2 g,0.38 g,0.5 g,0.1 g,23.1 g,0.16 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingbr%C3%B6stfil%C3%A9-f%C3%A4rsk-720g-ica-gott-liv/2044240
Salamini Classico 112g ICA,"39,90 kr","0.117kg 341,03 kr/kg",483 kcal,2002 kJ,41 g,14 g,0.5 g,0.5 g,28 g,3.5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salamini-classico-112g-ica/2165799
Stekfläsk Skivat 375g ICA,"52,00 kr","0.375kg 138,67 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/stekfl%C3%A4sk-skivat-375g-ica/2044090
Grillkorv 500g ICA,"31,90 kr","0.5kg 63,80 kr/kg",214 kcal,890 kJ,15 g,5.7 g,13 g,0.6 g,6.7 g,1.9 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grillkorv-500g-ica/1477188
Chicken nuggets Fryst 1kg ICA Basic,"61,00 kr","1kg 61,00 kr/kg",238 kcal,995 kJ,12 g,1.8 g,22 g,0.6 g,10 g,1.1 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chicken-nuggets-fryst-1kg-ica-basic/1411116
Nötfärs Färsk 12% 1kg ICA,"166,00 kr","1kg 166,00 kr/kg",184 kcal,767 kJ,12 g,5.3 g,0.5 g,0.5 g,19 g,0.2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/n%C3%B6tf%C3%A4rs-f%C3%A4rsk-12-1kg-ica/2117200
Bacon Tärnat 140g Scan,"25,90 kr","0.14kg 185,00 kr/kg",300 kcal,1250 kJ,28 g,11 g,0 g,0 g,13 g,2.4 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bacon-t%C3%A4rnat-140g-scan/1024943
Fläskfilé Färsk ca 500g ICA,Ca,"Ca 0.5kg 197,00 kr/kg",107 kcal,446 kJ,2.6 g,1 g,0.5 g,0.5 g,21 g,0.1 g,0 g,0.57 µg,5 mg,1.45 mg,0.048 g,1.7 mg,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fl%C3%A4skfil%C3%A9-f%C3%A4rsk-ca-500g-ica/1371698
Chorizo Cayenne Paprika 75% Kötthalt 300g Scan,"47,90 kr","0.3kg 159,67 kr/kg",250 kcal,1050 kJ,21 g,7.5 g,4.9 g,0.6 g,12 g,1.8 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chorizo-cayenne-paprika-75-k%C3%B6tthalt-300g-scan/1202307
Leverpastej Bredbar 200g Pastejköket,"17,90 kr","0.2kg 89,50 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/leverpastej-bredbar-200g-pastejk%C3%B6ket/1023553
Grillkorv Kyckling 400g ICA,"28,90 kr","0.4kg 72,25 kr/kg",205 kcal,855 kJ,14 g,4.4 g,8.8 g,0.6 g,11 g,1.8 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grillkorv-kyckling-400g-ica/2023538
Kalkonbacon 100g Ingelsta,"24,90 kr","0.1kg 249,00 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kalkonbacon-100g-ingelsta/1327460
Emilskinka Rökt 120g Pärsons,"40,90 kr","0.12kg 340,83 kr/kg",105 kcal,440 kJ,2.7 g,0.9 g,0.9 g,0.4 g,19 g,2.4 g,1 g,,,,1.5 g,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/emilskinka-r%C3%B6kt-120g-p%C3%A4rsons/1275805
Fläskytterfilé 450g ICA,"73,00 kr","0.45kg 162,22 kr/kg",93 kcal,395 kJ,1.5 g,0.5 g,0.8 g,0.5 g,19 g,0.95 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fl%C3%A4skytterfil%C3%A9-450g-ica/2099836
Köttbullar med Grönsaker 350g ICA,"35,90 kr","0.35kg 102,57 kr/kg",219 kcal,910 kJ,15 g,5.8 g,9.9 g,1.6 g,11 g,1.5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6ttbullar-med-gr%C3%B6nsaker-350g-ica/2165686
Bacon 140g Scan,"22,90 kr","0.14kg 163,57 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bacon-140g-scan/1202328
Ölkorv Hot Amigo 50g Ridderheims,"22,90 kr","0.05kg 458,00 kr/kg",440 kcal,1850 kJ,36 g,18 g,3.5 g,2 g,27 g,4.3 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6lkorv-hot-amigo-50g-ridderheims/1476970
Pepparsalami 120g Kotivara,"39,90 kr","0.12kg 332,50 kr/kg",433 kcal,1810 kJ,37 g,13.4 g,3.9 g,0.1 g,21.6 g,4 g,2.1 g,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pepparsalami-120g-kotivara/1404224
Cognacsmedwurst Tunna Skivor 200g ICA,"31,90 kr","0.2kg 159,50 kr/kg",320 kcal,1326 kJ,27 g,10 g,5.1 g,4.5 g,14 g,2.5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cognacsmedwurst-tunna-skivor-200g-ica/2030589
Chorizofärs 500g ICA,"61,00 kr","0.5kg 122,00 kr/kg",260 kcal,1079 kJ,21 g,8.9 g,3.3 g,2.9 g,15 g,1.6 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chorizof%C3%A4rs-500g-ica/2099838
Lantskinka Rökt 120g ICA,"31,90 kr","0.12kg 265,83 kr/kg",91 kcal,380 kJ,1.4 g,0.5 g,1.5 g,0.5 g,17 g,2.1 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lantskinka-r%C3%B6kt-120g-ica/1422163
Chicken drumsticks BBQ Fryst 500g Guldfågeln,"51,00 kr","0.5kg 102,00 kr/kg",190 kcal,800 kJ,10 g,3.3 g,3 g,1.5 g,21 g,1.6 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chicken-drumsticks-bbq-fryst-500g-guldf%C3%A5geln/1008755
Salami Napoli 120g ICA,"40,90 kr","0.12kg 340,83 kr/kg",346 kcal,1438 kJ,26 g,9.3 g,0.5 g,0.5 g,28 g,4.4 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salami-napoli-120g-ica/2010054
Ölkorv Caramba 50g Ridderheims,"22,90 kr","0.05kg 458,00 kr/kg",440 kcal,1850 kJ,36 g,18 g,3 g,1.6 g,27 g,4.3 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6lkorv-caramba-50g-ridderheims/1476492
Lövbiff Innanlår ca 450g ICA,Ca,"Ca 0.45kg 275,00 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/l%C3%B6vbiff-innanl%C3%A5r-ca-450g-ica/1264385
Gräddleverpastej Ugnsbakad Deli 200g Scan,"25,90 kr","0.2kg 129,50 kr/kg",300 kcal,1250 kJ,24 g,9 g,8 g,3 g,12 g,1.8 g,,,,7 mg,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%A4ddleverpastej-ugnsbakad-deli-200g-scan/1348784
Kalkon Rökt 120g ICA,"36,90 kr","0.12kg 307,50 kr/kg",98 kcal,410 kJ,1.1 g,0.4 g,0.9 g,0.8 g,20 g,2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kalkon-r%C3%B6kt-120g-ica/1422160
Salamisticks Tryffel 80g ICA,"39,90 kr","0.08kg 498,75 kr/kg",496 kcal,2059 kJ,40 g,14 g,1 g,0.5 g,33 g,4 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salamisticks-tryffel-80g-ica/2165809
Salami Milano 70g ICA,"29,90 kr","0.07kg 427,14 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salami-milano-70g-ica/1447258
Salami Milano 80g Zeta,"42,90 kr","0.08kg 536,25 kr/kg",349 kcal,1450 kJ,27 g,11 g,0.5 g,0 g,26 g,4.5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salami-milano-80g-zeta/1328785
Choritzo Red hot Paprika & Chipotle 75% Kötthalt 300g Scan,"47,90 kr","0.3kg 159,67 kr/kg",260 kcal,1100 kJ,22 g,9 g,4 g,0.5 g,12 g,1.8 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/choritzo-red-hot-paprika-chipotle-75-k%C3%B6tthalt-300g-scan/1024962
Skinka Kokt Tunna Skivor 200g ICA,"31,90 kr","0.2kg 159,50 kr/kg",90 kcal,380 kJ,1.1 g,0.5 g,2 g,0.5 g,18 g,2.1 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skinka-kokt-tunna-skivor-200g-ica/1128036
"Karré Benfri Grillmarinerad ca 1,1kg ICA",Ca,"Ca 1.1kg 132,00 kr/kg",206 kcal,855 kJ,15 g,5.1 g,0.8 g,0.5 g,17 g,1.1 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/karr%C3%A9-benfri-grillmarinerad-ca-1-1kg-ica/1490128
Cognacsmedwurst 120g ICA,"27,90 kr","0.12kg 232,50 kr/kg",320 kcal,1326 kJ,27 g,10 g,5.1 g,4.5 g,14 g,2.5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cognacsmedwurst-120g-ica/1467558
Salsiccia 78% Kötthalt 240g ICA,"39,90 kr","0.24kg 166,25 kr/kg",200 kcal,850 kJ,15 g,6.6 g,3.2 g,0.9 g,14 g,2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salsiccia-78-k%C3%B6tthalt-240g-ica/1406002
Vitlökssalami skivad 150g Göl Pölser,"39,90 kr","0.15kg 266,00 kr/kg",393 kcal,1627 kJ,35 g,13 g,0.5 g,0.5 g,19 g,5.1 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vitl%C3%B6kssalami-skivad-150g-g%C3%B6l-p%C3%B6lser/1024398
Fuet 170g Zeta,"56,00 kr","0.17kg 329,41 kr/kg",425 kcal,1762 kJ,35 g,12 g,3.2 g,2.1 g,24 g,3.5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fuet-170g-zeta/1484825
Salami Napoli 80g Zeta,"42,90 kr","0.08kg 536,25 kr/kg",334 kcal,1387 kJ,27 g,10 g,0.5 g,0.5 g,22 g,4.3 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salami-napoli-80g-zeta/1328772
Kabanoss 78% Kötthalt 240g ICA,"39,90 kr","0.24kg 166,25 kr/kg",200 kcal,840 kJ,15 g,6.6 g,3.2 g,0.9 g,14 g,2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kabanoss-78-k%C3%B6tthalt-240g-ica/1406018
Gourmetskinka Rökt Tunna Skivor 200g Pärsons,"47,90 kr","0.2kg 239,50 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gourmetskinka-r%C3%B6kt-tunna-skivor-200g-p%C3%A4rsons/1025999
Köttbullar Stekta Färska 1kg ICA,"86,00 kr","1kg 86,00 kr/kg",250 kcal,1050 kJ,18 g,7 g,9 g,1.8 g,12 g,1.5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6ttbullar-stekta-f%C3%A4rska-1kg-ica/2106201
Bratwurst Kummin Vitlök 75% Kötthalt 300g Scan,"47,90 kr","0.3kg 159,67 kr/kg",260 kcal,1100 kJ,22 g,9 g,4 g,0.5 g,12 g,1.8 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bratwurst-kummin-vitl%C3%B6k-75-k%C3%B6tthalt-300g-scan/1200590
Kryddkorv Kolbasz Paprika & Vitlök 75% Kötthalt 300g Scan,"47,90 kr","0.3kg 159,67 kr/kg",270 kcal,1100 kJ,22 g,9 g,5 g,0.6 g,12 g,1.8 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kryddkorv-kolbasz-paprika-vitl%C3%B6k-75-k%C3%B6tthalt-300g-scan/1024121
Skinka Extrarökt Tunna Skivor 200g ICA,"31,90 kr","0.2kg 159,50 kr/kg",90 kcal,380 kJ,1.1 g,0.5 g,2 g,0.5 g,18 g,2.1 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skinka-extrar%C3%B6kt-tunna-skivor-200g-ica/1429941
Köttbullar 350g ICA,"33,90 kr","0.35kg 96,86 kr/kg",250 kcal,1050 kJ,18 g,7 g,9 g,1.8 g,12 g,1.5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6ttbullar-350g-ica/2021351
Pepparsalami skivad 150g Göl Pölser,"39,90 kr","0.15kg 266,00 kr/kg",393 kcal,1627 kJ,35 g,13 g,0.5 g,0.5 g,19 g,5.1 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pepparsalami-skivad-150g-g%C3%B6l-p%C3%B6lser/1129744
Skinka Basturökt 105g Lönneberga,"37,90 kr","0.105kg 360,95 kr/kg",110 kcal,480 kJ,2.8 g,1.1 g,2.5 g,0.8 g,19 g,2.8 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skinka-bastur%C3%B6kt-105g-l%C3%B6nneberga/2130056
Kycklinglårfilé Färsk Minutstrimlor 550g Kronfågel,"114,00 kr","0.55kg 207,27 kr/kg",160 kcal,650 kJ,8.5 g,2.4 g,0.5 g,0.5 g,20 g,0.3 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingl%C3%A5rfil%C3%A9-f%C3%A4rsk-minutstrimlor-550g-kronf%C3%A5gel/2141613
Pilsnerkorv 455g Bullens,"37,90 kr","0.25kg 151,60 kr/kg",200 kcal,800 kJ,14 g,5 g,6 g,0.8 g,10 g,2.3 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pilsnerkorv-455g-bullens/2068950
Kassler ca 600g ICA,Ca,"Ca 0.6kg 132,00 kr/kg",185 kcal,772 kJ,12 g,4.9 g,1.3 g,1 g,18 g,2.3 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kassler-ca-600g-ica/2002122
Salchichon 100g ICA,"40,90 kr","0.1kg 409,00 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salchichon-100g-ica/1461370
Pastej Original Skivbar 250g Arboga,"24,90 kr","0.25kg 99,60 kr/kg",270 kcal,1100 kJ,22 g,8.8 g,8.5 g,2.4 g,10 g,2 g,,,,7 mg,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pastej-original-skivbar-250g-arboga/1023554
Schwarzwalderskinka 120g ICA,"40,90 kr","0.12kg 340,83 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/schwarzwalderskinka-120g-ica/1506999
Lammkorv Extra fin Kötthalt 78% 180g ICA,"39,90 kr","0.18kg 221,67 kr/kg",220 kcal,900 kJ,17 g,7 g,3 g,0 g,14 g,1.8 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lammkorv-extra-fin-k%C3%B6tthalt-78-180g-ica/2036011
Pepparsalami Kallrökt 120g ICA,"33,90 kr","0.12kg 282,50 kr/kg",422 kcal,1748 kJ,38 g,16 g,11 g,0.7 g,19 g,3.5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pepparsalami-kallr%C3%B6kt-120g-ica/2116923
Falukorv Ring 800g ICA,"48,90 kr","0.8kg 61,13 kr/kg",260 kcal,1100 kJ,23 g,11 g,4.5 g,0.5 g,8.8 g,1.7 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/falukorv-ring-800g-ica/1025767
Falukorv Extra fin 71% Kötthalt 550g ICA,"44,90 kr","0.55kg 81,64 kr/kg",220 kcal,913 kJ,18 g,7.5 g,3.5 g,0.5 g,11 g,1.6 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/falukorv-extra-fin-71-k%C3%B6tthalt-550g-ica/1477190
Kyckling Grillad 120g Pärsons,"40,90 kr","0.12kg 340,83 kr/kg",90 kcal,375 kJ,1 g,0.4 g,0.9 g,0.4 g,19 g,2.4 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kyckling-grillad-120g-p%C3%A4rsons/1443477
Prosciutto Di Parma 70g Zeta,"69,00 kr","0.07kg 985,71 kr/kg",,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/prosciutto-di-parma-70g-zeta/1465000
Skinka Rökt Peppar Tunna Skivor 170g ICA,"31,90 kr","0.17kg 187,65 kr/kg",90 kcal,381 kJ,1.1 g,0.4 g,2 g,0.5 g,18 g,2.4 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skinka-r%C3%B6kt-peppar-tunna-skivor-170g-ica/1520690
Ölkorv Cabanossi 50g Ridderheims,"22,90 kr","0.05kg 458,00 kr/kg",480 kcal,2000 kJ,41 g,15 g,2.3 g,1.7 g,26 g,4.3 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6lkorv-cabanossi-50g-ridderheims/1476496
Salami Snacks Classic 80g Göl,"30,90 kr","0.08kg 386,25 kr/kg",572 kcal,2366 kJ,52 g,21 g,3 g,1 g,23 g,4.9 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salami-snacks-classic-80g-g%C3%B6l/2033780
Kycklingstekkorv 600g Lantfågel,"55,00 kr","0.6kg 91,67 kr/kg",230 kcal,1000 kJ,18 g,6 g,7 g,0.5 g,10 g,1.8 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingstekkorv-600g-lantf%C3%A5gel/1415863
Kycklingklubba ca 825g Kronfågel,Ca,"Ca 0.825kg 88,00 kr/kg",200 kcal,850 kJ,14 g,4 g,0.5 g,0.5 g,18 g,0.2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingklubba-ca-825g-kronf%C3%A5gel/1484741
Blodpudding 500g Gea´s,"16,90 kr","0.5kg 33,80 kr/kg",200 kcal,800 kJ,8.5 g,0.6 g,22 g,5.7 g,7.5 g,1.8 g,,,,16 mg,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/blodpudding-500g-gea-s/1454816
Salami Pepperoni skivad 150g Göl Pölser,"39,90 kr","0.15kg 266,00 kr/kg",521 kcal,,49 g,29 g,0.5 g,0.5 g,19 g,4.7 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salami-pepperoni-skivad-150g-g%C3%B6l-p%C3%B6lser/1025738
Kycklingbröstfilé 2kg ICA Basic,"169,00 kr","2kg 84,50 kr/kg",95 kcal,400 kJ,1 g,0.3 g,0 g,0 g,21 g,0.43 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingbr%C3%B6stfil%C3%A9-2kg-ica-basic/2038610
Minichorizo hot chipotle 300g ICA Selection,"29,90 kr","0.3kg 99,67 kr/kg",290 kcal,1250 kJ,25 g,10 g,4.4 g,2.7 g,14 g,2.4 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/minichorizo-hot-chipotle-300g-ica-selection/1532450
Salami 300g ICA Basic,"39,90 kr","0.3kg 133,00 kr/kg",350 kcal,1450 kJ,30 g,11 g,6 g,1.2 g,14 g,2.3 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/salami-300g-ica-basic/2103857
Falukorv Klassikern 800g Scan,"51,00 kr","0.8kg 63,75 kr/kg",260 kcal,1050 kJ,23 g,9.5 g,4 g,0.5 g,9 g,1.8 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/falukorv-klassikern-800g-scan/1024181
Hamburgerfärs Färsk av nöt 23% 800g ICA,"129,00 kr","0.8kg 161,25 kr/kg",279 kcal,1157 kJ,23 g,11 g,0.5 g,0.5 g,18 g,0.2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hamburgerf%C3%A4rs-f%C3%A4rsk-av-n%C3%B6t-23-800g-ica/2148819
Kyckling BBQ Stekt Bröstfilé i bitar 200g Kronfågel,"56,00 kr","0.2kg 280,00 kr/kg",100 kcal,430 kJ,1.4 g,0.5 g,0.5 g,0.5 g,22 g,1.5 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kyckling-bbq-stekt-br%C3%B6stfil%C3%A9-i-bitar-200g-kronf%C3%A5gel/2169052
Grillkorv Extra fin 75% Kötthalt 500g ICA,"47,90 kr","0.5kg 95,80 kr/kg",265 kcal,1098 kJ,23 g,9.1 g,3.5 g,0.7 g,11 g,1.9 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/grillkorv-extra-fin-75-k%C3%B6tthalt-500g-ica/1407596
Kyckling Färsk Minutfilé 600g Kronfågel,"114,00 kr","0.6kg 190,00 kr/kg",120 kcal,480 kJ,2 g,0.5 g,0.5 g,0.5 g,23 g,0.2 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kyckling-f%C3%A4rsk-minutfil%C3%A9-600g-kronf%C3%A5gel/2141611
Crispy kycklingburgare Fryst 440g Max,"76,00 kr","0.44kg 172,73 kr/kg",200 kcal,800 kJ,9.4 g,1.2 g,14 g,1.2 g,13 g,1.8 g,1.6 g,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/crispy-kycklingburgare-fryst-440g-max/1475813
Cognacsmedwurst 160g Pärsons,"40,90 kr","0.16kg 255,63 kr/kg",410 kcal,1700 kJ,36 g,15 g,8 g,5.7 g,13 g,3 g,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cognacsmedwurst-160g-p%C3%A4rsons/2141752
