Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Natrium,Varav fleromättat fett,Varav enkelomättat fett,url
Linssoppa 400ml Weight Watchers,"26,90 kr","0.4L 67,25 kr/l",53 kcal,222 kJ,0.5 g,0.5 g,7.9 g,1.9 g,2.5 g,2.9 g,0.78 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/linssoppa-400ml-weight-watchers/1412508
Sandwich Mozzarella & tomat 140g Italsandwich,"48,90 kr","0.14kg 349,29 kr/kg",316 kcal,1317 kJ,19 g,4.5 g,24 g,2.2 g,,10 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sandwich-mozzarella-tomat-140g-italsandwich/2009852
Färdigmat Lasagnette bolognese med mozzarella 400g Gooh,"92,00 kr","0.4kg 230,00 kr/kg",179 kcal,748 kJ,8.7 g,5.3 g,16 g,2.4 g,1.1 g,8.8 g,0.9 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rdigmat-lasagnette-bolognese-med-mozzarella-400g-gooh/2166250
Risgrynsgröt 500g ICA,"18,90 kr","0.5kg 37,80 kr/kg",100 kcal,424 kJ,2.6 g,1.7 g,16 g,5.3 g,,2.7 g,0.41 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/risgrynsgr%C3%B6t-500g-ica/2116415
Räk Dillsås 250g Middagsklart Abba,"35,90 kr","0.25kg 143,60 kr/kg",122 kcal,512 kJ,10 g,5.3 g,6.3 g,1.3 g,,1 g,1.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%A4k-dills%C3%A5s-250g-middagsklart-abba/1437242
Potatisgratäng 800g Peka,"42,90 kr","0.8kg 53,63 kr/kg",121 kcal,506 kJ,7 g,1.5 g,11.9 g,1.7 g,1.6 g,2 g,0.97 g,0.39 g,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatisgrat%C3%A4ng-800g-peka/1330357
Färsk Pasta Tortelloni Svamp 250g Rana,"62,00 kr","0.25kg 248,00 kr/kg",269 kcal,1127 kJ,9.6 g,3.4 g,33 g,6.3 g,6.2 g,9.5 g,1.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rsk-pasta-tortelloni-svamp-250g-rana/1454471
Hollandaise 230ml Eriks såser,"35,90 kr","0.23L 156,09 kr/l",700 kcal,3000 kJ,79 g,5.8 g,0.5 g,0.5 g,,1.2 g,0.8 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hollandaise-230ml-eriks-s%C3%A5ser/1354056
Champinjonsoppa 4 portioner 1l Blå Band,"25,90 kr","1L 25,90 kr/l",48 kcal,203 kJ,1.8 g,1.0 g,6.3 g,1.2 g,0.2 g,1.5 g,0.72 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/champinjonsoppa-4-portioner-1l-bl%C3%A5-band/1007211
Citronsås 250g Middagsklart Abba,"35,90 kr","0.25kg 143,60 kr/kg",143 kcal,597 kJ,12 g,5.6 g,7.3 g,1.3 g,,1 g,1.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/citrons%C3%A5s-250g-middagsklart-abba/1414132
Wrap Kyckling Korean Style 300g ICA,"59,00 kr","0.3kg 196,67 kr/kg",177 kcal,746 kJ,5 g,0.6 g,28 g,6.3 g,,5 g,1.7 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/wrap-kyckling-korean-style-300g-ica/2152118
Grön Sparrissoppa 5dl Kelda,"37,90 kr","0.5L 75,80 kr/l",64 kcal,268 kJ,4 g,2.5 g,5.1 g,2.1 g,,1.7 g,0.98 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gr%C3%B6n-sparrissoppa-5dl-kelda/1344346
Baguette med Kycklingcurryröra 220g ICA,"55,00 kr","0.22kg 250,00 kr/kg",290 kcal,1208 kJ,18 g,2.6 g,25 g,2.7 g,,6.2 g,0.63 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/baguette-med-kycklingcurryr%C3%B6ra-220g-ica/2107448
Kycklinggryta med ris,"89,00 kr","0.45kg 197,78 kr/kg",,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklinggryta-med-ris/7301005002826
Österikisk Gulaschsoppa 475g Felix,"60,00 kr","0.475kg 126,32 kr/kg",71 kcal,296 kJ,3.7 g,0.5 g,6.2 g,1.7 g,,2.5 g,0.78 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6sterikisk-gulaschsoppa-475g-felix/1443082
Coleslaw texas style 200g Texas Longhorn,"33,90 kr","0.2kg 169,50 kr/kg",290 kcal,1200 kJ,28 g,2.1 g,8.4 g,4.1 g,0.5 g,0.8 g,0.7 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/coleslaw-texas-style-200g-texas-longhorn/1467569
Pasta Snack Pot Carbonara 63g Knorr,"26,90 kr","0.063kg 426,98 kr/kg",105 kcal,438 kJ,3 g,1 g,16 g,2.1 g,0.6 g,3.7 g,0.72 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-snack-pot-carbonara-63g-knorr/2079078
Vitlökssås 250ml Rydbergs,"38,90 kr","0.25L 155,60 kr/l",500 kcal,2100 kJ,53 g,3.8 g,5.8 g,1.6 g,,1.3 g,0.8 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vitl%C3%B6kss%C3%A5s-250ml-rydbergs/1025675
Skogssvampsoppa 5dl Kelda®,"37,90 kr","0.5L 75,80 kr/l",70 kcal,291 kJ,5 g,3 g,4.8 g,1.6 g,,1.4 g,0.89 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skogssvampsoppa-5dl-kelda/2153016
Pizzabröd Pinsa 230g Zeta,"53,00 kr","0.23kg 230,43 kr/kg",263 kcal,1112 kJ,4.8 g,0.9 g,44 g,3.1 g,3.3 g,9.4 g,1.8 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizzabr%C3%B6d-pinsa-230g-zeta/2108429
Aioli vegansk 200g ICA,"25,90 kr","0.2kg 129,50 kr/kg",548 kcal,2256 kJ,60 g,4.2 g,1.8 g,0.5 g,,0.5 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/aioli-vegansk-200g-ica/2129526
Pasta med kyckling och soltorkade tomater,"89,00 kr","0.45kg 197,78 kr/kg",,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-med-kyckling-och-soltorkade-tomater/7318690483960
Rotfruktslasagne,"89,00 kr","0.45kg 197,78 kr/kg",,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/rotfruktslasagne/7318690476160
Pastasås Körsbärstomat & Basilika ICA Selection,"43,90 kr","0.4kg 109,75 kr/kg",101 kcal,418 kJ,7.4 g,0.8 g,7 g,5.3 g,,1 g,1.2 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pastas%C3%A5s-k%C3%B6rsb%C3%A4rstomat-basilika-ica-selection/2093663
Guacamole 150g Sevan,"41,90 kr","0.15kg 279,33 kr/kg",153 kcal,640 kJ,14 g,2.9 g,9.5 g,0 g,6.7 g,1.5 g,0.3 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/guacamole-150g-sevan/2130615
Wrap Halloumi 275g Picadeli,"71,00 kr","0.275kg 258,18 kr/kg",204 kcal,852 kJ,9.4 g,3 g,22 g,3 g,,7.2 g,1.3 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/wrap-halloumi-275g-picadeli/2092706
Sandwich Mozzarella Pesto 220g Picadeli,"54,00 kr","0.22kg 245,45 kr/kg",294 kcal,1230 kJ,19 g,2.7 g,22 g,1.8 g,,7.6 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sandwich-mozzarella-pesto-220g-picadeli/2129742
Cheeseburgare 2-pack 270g ICA,"48,90 kr","0.27kg 181,11 kr/kg",281 kcal,1176 kJ,14 g,5.6 g,26 g,2.5 g,,12 g,1.8 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cheeseburgare-2-pack-270g-ica/2166146
Baguette Köttbullar Rödbetssallad 235g ICA,"55,00 kr","0.235kg 234,04 kr/kg",235 kcal,984 kJ,12 g,3.8 g,25 g,4.6 g,,6.3 g,0.65 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/baguette-k%C3%B6ttbullar-r%C3%B6dbetssallad-235g-ica/2139715
Färs Formbar Vegansk Fryst 850g Anamma,"114,00 kr","0.85kg 134,12 kr/kg",162 kcal,679 kJ,9.2 g,0.7 g,1.6 g,0.7 g,6.2 g,15 g,0.7 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rs-formbar-vegansk-fryst-850g-anamma/2011316
Färdigmat Tortelloni med ricotta och spenat 370g Gooh,"91,00 kr","0.37kg 245,95 kr/kg",179 kcal,746 kJ,12 g,6.6 g,13 g,4 g,1.2 g,3.8 g,1.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rdigmat-tortelloni-med-ricotta-och-spenat-370g-gooh/2166252
Tryffelmajonnäs 230ml ICA Selection,"31,90 kr","0.23L 138,70 kr/l",659 kcal,2712 kJ,73 g,5.6 g,0.5 g,0.5 g,,1 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tryffelmajonn%C3%A4s-230ml-ica-selection/2140239
Tzatziki 200g ICA,"25,90 kr","0.2kg 129,50 kr/kg",123 kcal,508 kJ,10 g,5.5 g,4.5 g,3.4 g,,3.7 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tzatziki-200g-ica/2055356
Färdigmat Köttbullar potatismos och gräddsås 400 Gram Gooh,"91,00 kr","0.4kg 227,50 kr/kg",164 kcal,685 kJ,10 g,5.6 g,12 g,1.4 g,0.7 g,5.8 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rdigmat-k%C3%B6ttbullar-potatismos-och-gr%C3%A4dds%C3%A5s-400-gram-gooh/2166249
Fralla med Skinka och Sallad 95g ICA,"30,90 kr","0.095kg 325,26 kr/kg",307 kcal,1280 kJ,20 g,8.5 g,24 g,2.7 g,,7.1 g,0.66 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/fralla-med-skinka-och-sallad-95g-ica/2107461
Kroppkakor Smålands 3-p 300g Ölandskroppkakan,"26,90 kr","0.3kg 89,67 kr/kg",131 kcal,549 kJ,3.7 g,1.5 g,19.8 g,1 g,,3.4 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kroppkakor-sm%C3%A5lands-3-p-300g-%C3%B6landskroppkakan/1025321
Gazpacho 390g ICA,"26,90 kr","0.39kg 68,97 kr/kg",,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gazpacho-390g-ica/1475011
Plättar 300g ICA,"30,90 kr","0.3kg 103,00 kr/kg",200 kcal,850 kJ,7.3 g,0.8 g,27 g,4 g,,6.6 g,0.3 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pl%C3%A4ttar-300g-ica/2023796
Pepparsås 230ml Eriks såser,"35,90 kr","0.23L 156,09 kr/l",700 kcal,3000 kJ,79 g,5.8 g,1.4 g,0.9 g,,1.3 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/peppars%C3%A5s-230ml-eriks-s%C3%A5ser/1354064
Gulaschsoppa 560g Felix,"56,00 kr","0.56kg 100,00 kr/kg",77 kcal,322 kJ,4.1 g,0.7 g,4.5 g,1.1 g,,5 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gulaschsoppa-560g-felix/1280017
Bearnaise Orginal 250ml Rydbergs,"38,90 kr","0.25L 155,60 kr/l",650 kcal,2750 kJ,74 g,5.7 g,0.6 g,0.3 g,,0.9 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bearnaise-orginal-250ml-rydbergs/1484963
Färdigmat Risotto Tryffel 300g ICA,"56,00 kr","0.3kg 186,67 kr/kg",149 kcal,626 kJ,7.5 g,5.3 g,17 g,0.7 g,,3.5 g,0.96 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rdigmat-risotto-tryffel-300g-ica/2083144
Pajdeg 250g ICA,"27,90 kr","0.25kg 111,60 kr/kg",370 kcal,1550 kJ,21 g,11 g,39 g,2.9 g,1.2 g,5.6 g,1.2 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pajdeg-250g-ica/2023316
Potatissallad 400g ICA,"21,90 kr","0.4kg 54,75 kr/kg",218 kcal,901 kJ,19 g,1.4 g,9.9 g,1.1 g,,1.3 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatissallad-400g-ica/1398557
Pastasås Fyra ostar 5dl Kelda,"53,00 kr","0.5L 106,00 kr/l",124 kcal,519 kJ,8 g,5.1 g,6.7 g,4 g,,6.2 g,1.3 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pastas%C3%A5s-fyra-ostar-5dl-kelda/2152997
Hummus Oliv 175g ICA,"28,90 kr","0.175kg 165,14 kr/kg",,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hummus-oliv-175g-ica/2003869
Färdigmat Penne Tomat & Ricotta 300g ICA,"56,00 kr","0.3kg 186,67 kr/kg",200 kcal,850 kJ,6.5 g,1.2 g,28 g,2.5 g,,6.4 g,0.45 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rdigmat-penne-tomat-ricotta-300g-ica/1520724
Kycklingsallad med Pasta 365g ICA,"69,00 kr","0.365kg 189,04 kr/kg",177 kcal,742 kJ,11 g,2 g,12 g,2.1 g,1.6 g,6.6 g,1.04 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kycklingsallad-med-pasta-365g-ica/2091093
Färdigmat Pasta al pomodoro med mozzarella 400g Gooh,"75,00 kr","0.4kg 187,50 kr/kg",138 kcal,581 kJ,5.1 g,2.1 g,16 g,3.4 g,1.4 g,6.2 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rdigmat-pasta-al-pomodoro-med-mozzarella-400g-gooh/2166256
Pasta Ravioli Tomat & Mozzarella Färsk 250g ICA,"40,90 kr","0.25kg 163,60 kr/kg",286 kcal,1207 kJ,7.2 g,1.8 g,44 g,4 g,,9.7 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-ravioli-tomat-mozzarella-f%C3%A4rsk-250g-ica/2116970
Soppa Tomat & Basilika Varma Koppen 61g Blå Band,"20,90 kr","0.6L 34,83 kr/l",37 kcal,154 kJ,1.3 g,0.8 g,5.3 g,2.7 g,0.6 g,0.8 g,0.87 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/soppa-tomat-basilika-varma-koppen-61g-bl%C3%A5-band/2035358
Kebabsås Vitlök 250g Schysst käk,"35,90 kr","0.25L 143,60 kr/l",440 kcal,1850 kJ,48 g,3.6 g,3.1 g,1.8 g,,0.8 g,1.6 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kebabs%C3%A5s-vitl%C3%B6k-250g-schysst-k%C3%A4k/2084719
Ärtsoppa med fläsk 500g ICA,"15,90 kr","0.5kg 31,80 kr/kg",98 kcal,410 kJ,2.1 g,0.8 g,12 g,0.9 g,4 g,5.9 g,0.98 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4rtsoppa-med-fl%C3%A4sk-500g-ica/2116413
Pasta Tortellini Ost & Skinka Färsk 250g ICA,"40,90 kr","0.25kg 163,60 kr/kg",282 kcal,1186 kJ,7 g,2.2 g,42 g,3.7 g,,11 g,0.79 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-tortellini-ost-skinka-f%C3%A4rsk-250g-ica/2116959
Färdigmat Korvstroganoff med vildris 400g Gooh,"91,00 kr","0.4kg 227,50 kr/kg",152 kcal,635 kJ,9.2 g,4.6 g,13 g,2.5 g,0.6 g,4.6 g,1.3 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rdigmat-korvstroganoff-med-vildris-400g-gooh/2166251
Färdigmat Korv med bröd 2-pack 190g ICA,"40,90 kr","0.19kg 215,26 kr/kg",283 kcal,1184 kJ,14 g,5 g,27 g,5 g,,11 g,1.9 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rdigmat-korv-med-br%C3%B6d-2-pack-190g-ica/2166148
Wrap Korean Style med Kycklingröra Gochujang 275g Picadeli,"71,00 kr","0.275kg 258,18 kr/kg",285 kcal,1191 kJ,18 g,2.3 g,23 g,5.7 g,,6.8 g,0.98 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/wrap-korean-style-med-kycklingr%C3%B6ra-gochujang-275g-picadeli/2152990
Potatisgratäng 800g ICA,"20,00 kr","0.8kg 25,00 kr/kg",125 kcal,520 kJ,7.4 g,2 g,12 g,0.6 g,,2.5 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatisgrat%C3%A4ng-800g-ica/2140140
Pasta Tortellini Ricottaost & Spenat Färsk 250g ICA,"40,90 kr","0.25kg 163,60 kr/kg",277 kcal,1168 kJ,6.4 g,2 g,43 g,4.2 g,,10 g,0.58 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-tortellini-ricottaost-spenat-f%C3%A4rsk-250g-ica/2116966
Österrikisk gulaschsoppa 500g Knorr,"41,90 kr","0.5L 83,80 kr/l",76 kcal,317 kJ,3.4 g,0.9 g,6.7 g,2 g,1.1 g,4.1 g,1.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%B6sterrikisk-gulaschsoppa-500g-knorr/1402018
Morotsoppa Asiatisk 390g ICA,"26,90 kr","0.39kg 68,97 kr/kg",,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/morotsoppa-asiatisk-390g-ica/1475010
Hummus Soltorkade Tomatar 275g Sevan,"43,90 kr","0.275kg 159,64 kr/kg",220 kcal,914 kJ,14 g,1.5 g,14 g,1.9 g,4.5 g,7.3 g,0.9 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hummus-soltorkade-tomatar-275g-sevan/2024312
Wrap Kyckling Curry 275g Picadeli,"71,00 kr","0.275kg 258,18 kr/kg",264 kcal,1106 kJ,16 g,1.9 g,22 g,4.3 g,,7 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/wrap-kyckling-curry-275g-picadeli/2140282
Pasta Snack Pot Carbonara 92g Knorr,"29,90 kr","0.092kg 325,00 kr/kg",105 kcal,437 kJ,3 g,1 g,16 g,2.1 g,0.6 g,3.7 g,0.72 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-snack-pot-carbonara-92g-knorr/2026343
Smördeg Vegansk 250g ICA,"27,90 kr","0.25kg 111,60 kr/kg",390 kcal,1600 kJ,24 g,13 g,37 g,2.7 g,1.1 g,5.6 g,0.7 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sm%C3%B6rdeg-vegansk-250g-ica/2023315
Tomatsoppa Italiensk 475g Felix,"60,00 kr","0.475kg 126,32 kr/kg",71 kcal,298 kJ,3.6 g,2.3 g,7.2 g,4.1 g,,2 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tomatsoppa-italiensk-475g-felix/1463222
Pasta Ravioli Svamp Färsk 250g ICA,"40,90 kr","0.25kg 163,60 kr/kg",279 kcal,1174 kJ,6.7 g,1.5 g,44 g,4.5 g,,8.9 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-ravioli-svamp-f%C3%A4rsk-250g-ica/2116928
