Name,Price,Size,Energi (kcal),Energi (kJ),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Natrium,Varav fleromättat fett,Varav enkelomättat fett,url
Köttsoppa med grönsaker 550g Knorr,"47,90 kr","1L 47,90 kr/l drickklar",38 kcal,159 kJ,0.7 g,0.3 g,4.1 g,1.8 g,1.4 g,3 g,2.2 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/k%C3%B6ttsoppa-med-gr%C3%B6nsaker-550g-knorr/1004347
Svampsoppa 3 portioner 6dl Varma Koppen,"20,90 kr","0.6L 34,83 kr/l",46 kcal,194 kJ,1.9 g,1.1 g,6.8 g,0.5 g,0.5 g,0.5 g,0.7 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/svampsoppa-3-portioner-6dl-varma-koppen/1008263
Sweet & Sour Original 450g Ben's Original,"35,90 kr","0.45kg 79,78 kr/kg",70 kcal,298 kJ,0.5 g,0.1 g,16 g,13 g,0.8 g,0.5 g,0.42 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sweet-sour-original-450g-ben-s-original/2087063
Thaisoppa 5dl Kelda,"37,90 kr","0.5L 75,80 kr/l",67 kcal,278 kJ,4 g,2.8 g,5.9 g,3.2 g,,1.6 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/thaisoppa-5dl-kelda/1344326
Dressing Sesam Japansk 250ml UMA,"54,00 kr","0.25L 216,00 kr/l",550 kcal,2350 kJ,56 g,5 g,9.2 g,7.8 g,,3.1 g,2.9 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/dressing-sesam-japansk-250ml-uma/2117915
Kebabsås Het 250g Schysst käk,"35,90 kr","0.25L 143,60 kr/l",410 kcal,1750 kJ,44 g,3.4 g,4.4 g,3.3 g,,0.9 g,2.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kebabs%C3%A5s-het-250g-schysst-k%C3%A4k/2084720
Picklad rödlök 200g Schysst käk,"33,90 kr","0.2kg 169,50 kr/kg u. spad",84 kcal,353 kJ,0.1 g,0 g,19.6 g,16.4 g,,0.6 g,0.5 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/picklad-r%C3%B6dl%C3%B6k-200g-schysst-k%C3%A4k/2092940
"Vi hjälper dig att plocka in din matleverans i kyl, frys, skafferi.","49,00 kr","1kg 49,00 kr/kg",,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vi-hj%C3%A4lper-dig-att-plocka-in-din-matleverans-i-kyl-frys-skafferi/7301005002710
Hummus Original 200g Fontana,"39,90 kr","0.2kg 199,50 kr/kg",307 kcal,1271 kJ,25.7 g,3.1 g,9.4 g,0.6 g,,6.4 g,0.9 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hummus-original-200g-fontana/2108560
Aioli 200g ICA,"22,90 kr","0.2kg 114,50 kr/kg",557 kcal,2292 kJ,61 g,4.2 g,1.7 g,0 g,,0.8 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/aioli-200g-ica/2055365
Vegokorv Glutenfri Fryst 840g Anamma,"114,00 kr","0.84kg 135,71 kr/kg",174 kcal,729 kJ,12 g,0.9 g,4.8 g,1.4 g,4.5 g,11 g,1.5 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegokorv-glutenfri-fryst-840g-anamma/2011353
Oxpytt Nötkött Fryst 750g Findus,"66,00 kr","0.75kg 88,00 kr/kg",141 kcal,589 kJ,5.7 g,0.8 g,16 g,1.9 g,2 g,5.3 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/oxpytt-n%C3%B6tk%C3%B6tt-fryst-750g-findus/2071068
Skagenröra Chili 200g ICA,"31,90 kr","0.2kg 159,50 kr/kg",423 kcal,1746 kJ,43 g,3.1 g,4.4 g,2.5 g,,4.7 g,1.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skagenr%C3%B6ra-chili-200g-ica/2153065
Potatissallad 200g ICA,"16,90 kr","0.2kg 84,50 kr/kg",220 kcal,900 kJ,19 g,1.5 g,10 g,1 g,,1.5 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatissallad-200g-ica/1445862
Bearnaisesås Original 230ml Lohmanders,"29,90 kr","0.23L 130,00 kr/l",650 kcal,2750 kJ,74 g,5.7 g,0.6 g,0.5 g,,1 g,0.9 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bearnaises%C3%A5s-original-230ml-lohmanders/2024316
Pasta Snack Pot Mac & Cheese 62g Knorr,"26,90 kr","0.062kg 433,87 kr/kg",101 kcal,444 kJ,2.1 g,1 g,17 g,2.7 g,0.5 g,3.5 g,0.62 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-snack-pot-mac-cheese-62g-knorr/2035349
Aioli lime 230ml Eriks såser,"35,90 kr","0.23L 156,09 kr/l",700 kcal,2950 kJ,77 g,5.6 g,1.3 g,0.8 g,,1.1 g,0.9 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/aioli-lime-230ml-eriks-s%C3%A5ser/1354065
Soldatens ärtsoppa med Fläsk 350g Knorr,"37,90 kr","0.5L 75,80 kr/l drickklar",142 kcal,594 kJ,5.5 g,2 g,11 g,0.9 g,4.6 g,9.5 g,1.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/soldatens-%C3%A4rtsoppa-med-fl%C3%A4sk-350g-knorr/1005502
Herb & Garlicsauce 200g Farmers & Chefs,"32,90 kr","0.2kg 164,50 kr/kg",380 kcal,1600 kJ,40 g,2.8 g,4.3 g,1.3 g,,0.6 g,1.5 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/herb-garlicsauce-200g-farmers-chefs/2141681
Vegokebabsås 250ml Schysst käk,"33,90 kr","0.25L 135,60 kr/l",440 kcal,1850 kJ,46 g,3.2 g,6.4 g,3.8 g,,0.5 g,2.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegokebabs%C3%A5s-250ml-schysst-k%C3%A4k/2092931
Pizzadeg Napoli 300g POP! Bakery,"32,90 kr","0.3kg 109,67 kr/kg",249 kcal,1054 kJ,1.3 g,0.2 g,47 g,4.7 g,1.8 g,7.3 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizzadeg-napoli-300g-pop-bakery/2154341
Sparrissoppa 3 portioner 6dl Varma Koppen,"20,90 kr","0.6L 34,83 kr/l",47 kcal,197 kJ,1.6 g,0.9 g,7.7 g,0.8 g,0.5 g,0.5 g,0.8 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sparrissoppa-3-portioner-6dl-varma-koppen/1008262
Het nudelsoppa 410g Weight Watchers,"26,90 kr","0.395L 68,10 kr/l",22 kcal,91 kJ,0.5 g,0.2 g,2.2 g,0.7 g,0.8 g,1.6 g,0.88 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/het-nudelsoppa-410g-weight-watchers/1353405
Bearnaise 230ml Eriks såser,"35,90 kr","0.23L 156,09 kr/l",700 kcal,3000 kJ,79 g,5.6 g,0.5 g,0.5 g,,0.9 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bearnaise-230ml-eriks-s%C3%A5ser/1354055
Färsk Pasta Ravioli Ricotta Spenat 250g Rana,"62,00 kr","0.25kg 248,00 kr/kg",251 kcal,1052 kJ,11 g,4.5 g,25 g,6.7 g,4.1 g,11 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rsk-pasta-ravioli-ricotta-spenat-250g-rana/1454469
Hummus Original 275g Sevan,"42,90 kr","0.275kg 156,00 kr/kg",236 kcal,979 kJ,15.7 g,1.7 g,15 g,1.1 g,4.4 g,7.7 g,0.9 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/hummus-original-275g-sevan/2024326
Vegobullar Glutenfri Fryst 900g Anamma,"114,00 kr","0.9kg 126,67 kr/kg",160 kcal,668 kJ,10 g,0.8 g,4.7 g,0.7 g,4.2 g,11 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegobullar-glutenfri-fryst-900g-anamma/2011325
Majonnäs Sriracha 250ml Rydbergs,"38,90 kr","0.25L 155,60 kr/l",500 kcal,2150 kJ,55 g,3.9 g,5.6 g,3.7 g,,1 g,1.3 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/majonn%C3%A4s-sriracha-250ml-rydbergs/2016045
Skagenröra 200g ICA,"31,90 kr","0.2kg 159,50 kr/kg",418 kcal,1724 kJ,43 g,3.1 g,3.2 g,1.5 g,,4.6 g,1.3 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skagenr%C3%B6ra-200g-ica/2017618
Färdigmat Röd Curry med Kyckling & Ris 400g ICA,"78,00 kr","0.4kg 195,00 kr/kg",130 kcal,550 kJ,6.7 g,2.7 g,13 g,2.4 g,,4.7 g,0.8 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rdigmat-r%C3%B6d-curry-med-kyckling-ris-400g-ica/1512737
Pizzadeg 400g ICA,"24,90 kr","0.4kg 62,25 kr/kg",280 kcal,1183 kJ,5 g,1 g,48 g,3.1 g,1.6 g,7.9 g,1.6 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizzadeg-400g-ica/2023313
Lammgryta med röd curry och ris,"89,00 kr","0.45kg 197,78 kr/kg",,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/lammgryta-med-r%C3%B6d-curry-och-ris/7301005002833
Potatissallad Klassisk 750g Rydbergs,"63,00 kr","0.75kg 84,00 kr/kg",,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatissallad-klassisk-750g-rydbergs/1530757
Jordärtskockssoppa med bitar 475g ICA,"49,90 kr","0.475kg 105,05 kr/kg",103 kcal,427 kJ,7.6 g,3.5 g,7.4 g,1.7 g,,1.2 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/jord%C3%A4rtskockssoppa-med-bitar-475g-ica/2107436
Vegofärs Glutenfri Fryst 1kg Anamma,"114,00 kr","1kg 114,00 kr/kg",171 kcal,715 kJ,9.5 g,0.7 g,1.8 g,0.9 g,5.5 g,17 g,0.7 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegof%C3%A4rs-glutenfri-fryst-1kg-anamma/2011324
Skagenröra 400g ICA,"52,00 kr","0.4kg 130,00 kr/kg",418 kcal,1724 kJ,43 g,3.1 g,3.2 g,1.5 g,,4.6 g,1.3 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/skagenr%C3%B6ra-400g-ica/2017619
Röd Kebabsås 250ml Schysst käk,"35,90 kr","0.25L 143,60 kr/l",170 kcal,700 kJ,12 g,0.9 g,12 g,8.8 g,,1.6 g,1.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/r%C3%B6d-kebabs%C3%A5s-250ml-schysst-k%C3%A4k/2100472
Potatissallad original 800g Rydbergs,"47,90 kr","0.8kg 59,88 kr/kg",220 kcal,950 kJ,19 g,1.4 g,12 g,1.2 g,,1.5 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/potatissallad-original-800g-rydbergs/1323756
Färdigmat Frikadeller i krämig tomatsås 400g Gooh,"91,00 kr","0.4kg 227,50 kr/kg",185 kcal,772 kJ,12 g,6.4 g,12 g,2.8 g,1.3 g,6.7 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/f%C3%A4rdigmat-frikadeller-i-kr%C3%A4mig-tomats%C3%A5s-400g-gooh/2166258
Gulaschsoppa 410g Weight Watchers,"26,90 kr","0.4L 67,25 kr/l",43 kcal,180 kJ,0.5 g,0.5 g,6.5 g,1.6 g,1.1 g,2.5 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gulaschsoppa-410g-weight-watchers/1353382
Kryddsmör Vitlök 65g Biggans,"22,90 kr","0.065kg 352,31 kr/kg",623 kcal,2564 kJ,68 g,43 g,2 g,0.6 g,,1 g,3 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kryddsm%C3%B6r-vitl%C3%B6k-65g-biggans/1023491
Mild Tomatsoppa 5dl Kelda,"37,90 kr","0.5L 75,80 kr/l",49 kcal,206 kJ,3 g,1.9 g,4.1 g,2.6 g,,1.1 g,0.89 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/mild-tomatsoppa-5dl-kelda/1344329
Caesarsallad med Kyckling 270g ICA,"69,00 kr","0.27kg 255,56 kr/kg",166 kcal,693 kJ,11 g,2.6 g,4.9 g,0.9 g,,11 g,0.93 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/caesarsallad-med-kyckling-270g-ica/2091092
Bearnaise plant based 200g Farmers & Chefs,"32,90 kr","0.2kg 164,50 kr/kg",600 kcal,2500 kJ,67 g,4.7 g,1.3 g,0.5 g,,0.5 g,1.2 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bearnaise-plant-based-200g-farmers-chefs/2123490
Gurksallad 200g Rydbergs,"19,90 kr","0.2kg 99,50 kr/kg",330 kcal,1400 kJ,31 g,2.2 g,13 g,11 g,,0.7 g,0.9 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gurksallad-200g-rydbergs/1024904
Pasta Girasole Tomat Mozzarella 250g Färsk ICA Selection,"58,00 kr","0.25kg 232,00 kr/kg",290 kcal,1200 kJ,13 g,6.4 g,33 g,8.1 g,,11 g,1.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-girasole-tomat-mozzarella-250g-f%C3%A4rsk-ica-selection/2078636
Pepparrotsvisp 70g Örneborgs Delikatesser,"15,90 kr","0.07kg 227,14 kr/kg",470 kcal,1950 kJ,48 g,3.4 g,8 g,5.1 g,,0.9 g,1.1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pepparrotsvisp-70g-%C3%B6rneborgs-delikatesser/2098209
Pasta Fettuccine Färsk 500g ICA,"43,90 kr","0.5kg 87,80 kr/kg",276 kcal,1167 kJ,2.9 g,0.8 g,50 g,1.2 g,,11 g,0.05 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-fettuccine-f%C3%A4rsk-500g-ica/2116939
Baguette Ost & Skinka 210g GreenDeli,"64,00 kr","0.21kg 304,76 kr/kg",255 kcal,1067 kJ,11 g,4.5 g,26.7 g,1.2 g,,11.2 g,1.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/baguette-ost-skinka-210g-greendeli/2066236
Tomatsoppa med bitar 475g ICA,"49,90 kr","0.475kg 105,05 kr/kg",86 kcal,360 kJ,6 g,3 g,6.3 g,4.2 g,,1.8 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tomatsoppa-med-bitar-475g-ica/2107435
Pasta Mezze Lune Karl-johansvamp Färsk 250g ICA Selection,"58,00 kr","0.25kg 232,00 kr/kg",290 kcal,1250 kJ,14 g,3.5 g,32 g,1.2 g,,9.7 g,1.7 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-mezze-lune-karl-johansvamp-f%C3%A4rsk-250g-ica-selection/2078634
Baguette Ost & Skinka med Sallad 220g ICA,"55,00 kr","0.22kg 250,00 kr/kg",264 kcal,1106 kJ,14 g,6.8 g,23 g,2.3 g,,11 g,0.75 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/baguette-ost-skinka-med-sallad-220g-ica/2107450
Bearnaise 200g ICA,"22,90 kr","0.2kg 114,50 kr/kg",582 kcal,2392 kJ,64 g,4.4 g,0.8 g,0.1 g,,0.6 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/bearnaise-200g-ica/2055353
Filodeg 450g Fontana,"40,90 kr","0.45kg 90,89 kr/kg",290 kcal,1233 kJ,0.7 g,0.2 g,63 g,1.6 g,,3.6 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/filodeg-450g-fontana/2067498
Romsås 180g Korshags,"32,90 kr","0.18kg 182,78 kr/kg",534 kcal,2234 kJ,58 g,5.4 g,4.7 g,2.1 g,,1.3 g,0.5 g,,15.8 g,36.8 g,https://handlaprivatkund.ica.se/stores/1004181/products/roms%C3%A5s-180g-korshags/2140852
Sandwich Club Kyckling 220g Picadeli,"54,00 kr","0.22kg 245,45 kr/kg",265 kcal,1130 kJ,17 g,1.6 g,21 g,1.5 g,,8 g,1.3 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sandwich-club-kyckling-220g-picadeli/2129739
Vegoschnitzel Glutenfri 750g Anamma,"114,00 kr","0.75kg 152,00 kr/kg",228 kcal,955 kJ,13 g,1 g,13 g,0.9 g,4.4 g,12 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegoschnitzel-glutenfri-750g-anamma/2054869
Thai Cube Sweet chili chicken 350g Kitchen Joy,"52,00 kr","0.35kg 148,57 kr/kg",144 kcal,609 kJ,0.7 g,0.2 g,28 g,11 g,0.9 g,5.9 g,0.9 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/thai-cube-sweet-chili-chicken-350g-kitchen-joy/2050239
Pastasallad Caesar med kyckling 400g ICA,"75,00 kr","0.4kg 187,50 kr/kg",213 kcal,889 kJ,13 g,1.5 g,16 g,0.3 g,,8 g,1.21 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pastasallad-caesar-med-kyckling-400g-ica/2129274
Ost & Broccolisoppa 3 portioner 6dl Varma Koppen,"20,90 kr","0.6L 34,83 kr/l",47 kcal,199 kJ,1.8 g,1 g,7 g,0.9 g,0.5 g,0.6 g,0.76 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/ost-broccolisoppa-3-portioner-6dl-varma-koppen/1008261
Sötpotatissoppa 390g ICA,"26,90 kr","0.39kg 68,97 kr/kg",,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/s%C3%B6tpotatissoppa-390g-ica/2049593
Pasta Ravioli Fem Ostar Färsk 250g ICA,"40,90 kr","0.25kg 163,60 kr/kg",300 kcal,1260 kJ,9 g,2.8 g,43 g,3.7 g,,10 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-ravioli-fem-ostar-f%C3%A4rsk-250g-ica/2116927
Pizzakit 1-p 600g ICA,"33,90 kr","0.6kg 56,50 kr/kg",190 kcal,800 kJ,3.6 g,0.6 g,34 g,3.5 g,1.6 g,5.8 g,1.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pizzakit-1-p-600g-ica/2023311
Wrap Kyckling BBQ 300g ICA,"59,00 kr","0.3kg 196,67 kr/kg",190 kcal,796 kJ,7.9 g,0.8 g,25 g,5.4 g,,4.6 g,0.5 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/wrap-kyckling-bbq-300g-ica/2152117
Pasta Bolognese,"89,00 kr","0.45kg 197,78 kr/kg",,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pasta-bolognese/7318690476177
Gulaschsoppa 500g ICA,"43,90 kr","0.5kg 87,80 kr/kg",73 kcal,306 kJ,4 g,0.6 g,4.9 g,1.8 g,,4 g,1.2 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/gulaschsoppa-500g-ica/2014069
Kebabsås Mild 250g Schysst käk,"35,90 kr","0.25L 143,60 kr/l",410 kcal,1750 kJ,45 g,3.4 g,4 g,2.8 g,,0.8 g,1.4 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kebabs%C3%A5s-mild-250g-schysst-k%C3%A4k/2084718
Kyckling och Morotssoppa 475g ICA,"49,90 kr","0.475kg 105,05 kr/kg",101 kcal,420 kJ,6.8 g,4.4 g,6.2 g,3.9 g,,3.7 g,1 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kyckling-och-morotssoppa-475g-ica/2107426
Sandwich Lufttorkad skinka 140g Italsandwich,"49,90 kr","0.14kg 356,43 kr/kg",321 kcal,1339 kJ,19.8 g,4 g,21.3 g,1.8 g,,12.8 g,1.9 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sandwich-lufttorkad-skinka-140g-italsandwich/2010068
Ärtsoppa Vegetarisk 500g ICA,"16,90 kr","0.5kg 33,80 kr/kg",84 kcal,354 kJ,0.5 g,0.1 g,13 g,0.9 g,4.4 g,5.1 g,0.89 g,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4rtsoppa-vegetarisk-500g-ica/2116411
