Name,Price,Size,Energi (kcal),Fett,Varav mättat fett,Kolhydrat,Varav sockerarter,Fiber,Protein,Salt,Vitamin B12,Järn,Energi (kJ),Vitamin D,Riboflavin,Kalcium,Jod,Folsyra,Varav enkelomättat fett,Varav polyoler,Natrium,Varav fleromättat fett,Vitamin A,Magnesium,Zink,Vitamin E,Vitamin B6,url
Havredryck iKaffe Popcorn 1000ml Oatly,"32,90 kr","1L 32,90 kr/l",70 kcal,3.2 g,0.3 g,8.8 g,5.1 g,0.8 g,1.1 g,0.19 g,0.24 µg,,293 kJ,0.5 µg,0.21 mg,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-ikaffe-popcorn-1000ml-oatly/2169081
Havredyck iKaffe Vanilla 1000ml Oatly,"32,90 kr","1L 32,90 kr/l",72 kcal,3.2 g,0.3 g,9.2 g,5.1 g,0.8 g,1.1 g,0.1 g,0.24 µg,,300 kJ,0.5 µg,0.21 mg,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredyck-ikaffe-vanilla-1000ml-oatly/2151427
Barista For Professionals Kokosnöt 1l Alpro,"32,90 kr","1L 32,90 kr/l",33 kcal,1.4 g,0.7 g,3.3 g,3.3 g,0.2 g,1.5 g,0.1 g,,,139 kJ,,,120 mg,,,0.2 g,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/barista-for-professionals-kokosn%C3%B6t-1l-alpro/2063452
Sojadryck High Protein Chokladsmak 1l Alpro,"30,90 kr","1L 30,90 kr/l",69 kcal,2.8 g,0.6 g,5.3 g,5 g,1.3 g,5 g,0.16 g,,,291 kJ,0.75 µg,0.21 mg,120 mg,,,0.6 g,,0.06 g,1.6 g,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/sojadryck-high-protein-chokladsmak-1l-alpro/2053257
Filet Pieces 700g Hälsans Kök,"115,00 kr","0.7kg 164,29 kr/kg",151 kcal,4.7 g,0.4 g,1.2 g,0.1 g,5.9 g,22.5 g,1.4 g,,,631 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/filet-pieces-700g-h%C3%A4lsans-k%C3%B6k/2094075
Veganost Vegoumi 100g Vegoumi,"29,90 kr","0.1kg 299,00 kr/kg",204 kcal,11 g,7 g,24 g,1 g,1.4 g,1.4 g,2.3 g,2.5 µg,,854 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/veganost-vegoumi-100g-vegoumi/2141887
Havredryck vanilj 1l ICA,"21,90 kr","1L 21,90 kr/l",52 kcal,1.5 g,0.5 g,8.2 g,4.4 g,0.8 g,1.1 g,0.1 g,0.38 µg,,220 kJ,1.1 µg,0.21 mg,120 mg,22.5 µg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-vanilj-1l-ica/2035618
Havredryck Naturell 1l ICA,"19,90 kr","1L 19,90 kr/l",48 kcal,1.5 g,0.2 g,7.2 g,3.5 g,0.8 g,1.1 g,0.1 g,0.38 µg,,203 kJ,1.1 µg,0.21 mg,120 mg,22.5 µg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-naturell-1l-ica/2035617
Vegokebab pannfärdig 275g Schysst käk,"62,00 kr","0.275kg 225,45 kr/kg",206 kcal,7 g,0.6 g,7 g,0.1 g,,27 g,1.5 g,,,861 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegokebab-pannf%C3%A4rdig-275g-schysst-k%C3%A4k/2031687
"Plantgurt Protein Yellow Fruits 2,2% 200g Alpro","22,90 kr","0.2kg 114,50 kr/kg",82 kcal,2.2 g,0.4 g,7.2 g,7 g,1 g,7.5 g,0.18 g,0.38 µg,,344 kJ,0.75 µg,,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/plantgurt-protein-yellow-fruits-2-2-200g-alpro/2142016
Burgare 400g Farmers & Chefs,"74,00 kr","0.4kg 185,00 kr/kg",185 kcal,9.4 g,0.8 g,14 g,1.6 g,6.2 g,8.4 g,1.2 g,,,774 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/burgare-400g-farmers-chefs/2154359
Veganskivor Rökt smak 100g Quorn,"36,90 kr","0.1kg 369,00 kr/kg",101 kcal,2.5 g,0.6 g,1.7 g,0.3 g,8.5 g,13 g,1.7 g,,,420 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/veganskivor-r%C3%B6kt-smak-100g-quorn/2140558
Solmon vegansk 100g Ocean Kiss,"72,00 kr","0.1kg 720,00 kr/kg",136 kcal,6.3 g,0.6 g,12.7 g,5.4 g,6.2 g,5.4 g,1.3 g,,,570 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/solmon-vegansk-100g-ocean-kiss/2130423
Cool Hallon Skalle 175g Bubs Godis,"24,90 kr","0.175kg 142,29 kr/kg",351 kcal,0 g,0 g,87 g,61 g,,0.4 g,0.1 g,,,1468 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cool-hallon-skalle-175g-bubs-godis/1508869
Godis Jordgubb Cola Sockerfri 70g Wellibites,"36,90 kr","0.07kg 527,14 kr/kg",243 kcal,0 g,0 g,90 g,0 g,,0.3 g,0.11 g,,,1012 kJ,,,,,,0 g,61 g,,0 g,,79 mg,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-jordgubb-cola-sockerfri-70g-wellibites/2075346
iMat Visp 23% 250ml Oatly,"22,90 kr","0.25L 91,60 kr/l",253 kcal,23 g,22 g,11 g,2.3 g,0.5 g,0.5 g,0.21 g,,,1045 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/imat-visp-23-250ml-oatly/2063023
Tutti Frutti Passion 180g Fazer,"25,90 kr","0.18kg 143,89 kr/kg",358 kcal,0.5 g,0 g,89 g,60 g,,0.5 g,0.34 g,,,1507 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tutti-frutti-passion-180g-fazer/1477745
Chorizo 240g Farmers & Chefs,"53,00 kr","0.24kg 220,83 kr/kg",216 kcal,14 g,1 g,14 g,2.3 g,7.3 g,4.8 g,2.3 g,,,904 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/chorizo-240g-farmers-chefs/2154358
Cabanossy vegansk 210g Peas of Heaven,"44,90 kr","0.21kg 213,81 kr/kg",210 kcal,18 g,1.4 g,4.8 g,0.3 g,6.3 g,7.8 g,1.9 g,,,878 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/cabanossy-vegansk-210g-peas-of-heaven/2085080
Tofuröra Skagen Vegansk 200g ICA,"35,90 kr","0.2kg 179,50 kr/kg",424 kcal,42 g,3.2 g,4.5 g,2.6 g,,7 g,1.6 g,,,1749 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tofur%C3%B6ra-skagen-vegansk-200g-ica/2055339
Gelégodis Fläder & hallon Vegansk 70g Wellibites,"36,90 kr","0.07kg 527,14 kr/kg",204 kcal,0 g,0 g,93 g,0 g,,0.3 g,0.1 g,,,852 kJ,,,,,,0 g,73 g,,0 g,,,2.5 mg,,,https://handlaprivatkund.ica.se/stores/1004181/products/gel%C3%A9godis-fl%C3%A4der-hallon-vegansk-70g-wellibites/2039397
Ärtdryck Vanilla 1l Sproud,"26,90 kr","1L 26,90 kr/l",40 kcal,2 g,0.2 g,3.7 g,3.7 g,,1.5 g,0.15 g,0.38 µg,,160 kJ,1 µg,0.21 mg,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/%C3%A4rtdryck-vanilla-1l-sproud/2092305
Choklad Vegan Salt Karamell 90g Green Star,"59,00 kr","0.09kg 655,56 kr/kg",533 kcal,30 g,16 g,62 g,43 g,,2.8 g,0.37 g,,,2225 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/choklad-vegan-salt-karamell-90g-green-star/2150862
"Havredryck ""No"" Sugars 1000ml Oatly","25,90 kr","1L 25,90 kr/l",44 kcal,1.5 g,0.2 g,6.3 g,0 g,0.7 g,1 g,0.12 g,0.24 µg,,185 kJ,1.1 µg,0.21 mg,120 mg,22.5 µg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-no-sugars-1000ml-oatly/2119003
Veganost Mature Cheddar Flavour Mjölkfri 400g Violife,"61,00 kr","0.4kg 152,50 kr/kg",282 kcal,21 g,18 g,23 g,0 g,,0.2 g,2.2 g,2.5 µg,,1174 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/veganost-mature-cheddar-flavour-mj%C3%B6lkfri-400g-violife/2033569
Matlagningsbas Havre 13% 500ml ICA,"21,90 kr","0.5L 43,80 kr/l",146 kcal,13 g,1.5 g,7 g,3.2 g,,0.7 g,0 g,,,612 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/matlagningsbas-havre-13-500ml-ica/2139638
Falafel Vegansk Fryst 900g Anamma,"114,00 kr","0.9kg 126,67 kr/kg",305 kcal,18 g,1.3 g,25 g,1.3 g,5.3 g,9 g,1.1 g,,,1275 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/falafel-vegansk-fryst-900g-anamma/2011359
Proteinsojadryck 1000ml Alpro,"30,90 kr","1L 30,90 kr/l",57 kcal,2.8 g,0.5 g,2.5 g,2.5 g,0.9 g,5 g,0.1 g,0.38 µg,,239 kJ,0.75 µg,0.21 mg,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/proteinsojadryck-1000ml-alpro/2142147
"Havredryck Choklad 2,5% 1l Oatly","29,90 kr","1L 29,90 kr/l",71 kcal,2.5 g,0.3 g,10 g,6.5 g,1.2 g,1.4 g,0.12 g,0.38 µg,,296 kJ,1.1 µg,0.21 mg,120 mg,22.5 µg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-choklad-2-5-1l-oatly/2044918
Havredryck iKaffe 3% 1l Oatly,"24,90 kr","1L 24,90 kr/l",61 kcal,3 g,0.3 g,7.1 g,3.4 g,0.8 g,1.1 g,0.1 g,0.38 µg,,257 kJ,1.1 µg,0.21 mg,120 mg,22.5 µg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-ikaffe-3-1l-oatly/1487131
Tofu naturell 400g ICA Basic,"31,90 kr","0.4kg 79,75 kr/kg",113 kcal,5.9 g,1 g,0.8 g,0.5 g,,13 g,0.01 g,,,470 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tofu-naturell-400g-ica-basic/2091250
Vegoburgare Glutenfri Fryst 880g Anamma,"114,00 kr","0.88kg 129,55 kr/kg",162 kcal,10 g,0.8 g,2 g,0.4 g,5.4 g,14 g,0.88 g,,,680 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegoburgare-glutenfri-fryst-880g-anamma/2011341
Kokosdryck Laktosfri 1l ICA,"26,90 kr","1L 26,90 kr/l",,,,,,,,,,,,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/kokosdryck-laktosfri-1l-ica/1514316
iMat Fraiche Original 15% 200ml Oatly,"22,90 kr","0.2L 114,50 kr/l",186 kcal,15 g,5.9 g,9.5 g,3.3 g,0.9 g,2 g,0.01 g,,,773 kJ,,,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/imat-fraiche-original-15-200ml-oatly/1471018
"Havredryck Vanilj 2,6% 1l Oatly","22,90 kr","1L 22,90 kr/l",68 kcal,2.6 g,0.3 g,9.6 g,5.9 g,0.8 g,1.1 g,0.11 g,0.38 µg,,285 kJ,1.1 µg,0.21 mg,120 mg,22.5 µg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-vanilj-2-6-1l-oatly/2102124
Havredryck Choklad 1l ICA,"21,90 kr","1L 21,90 kr/l",55 kcal,1.5 g,0.5 g,8.5 g,4.7 g,1.1 g,1.2 g,0.1 g,0.38 µg,,229 kJ,1.1 µg,0.21 mg,120 mg,22.5 µg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-choklad-1l-ica/2035616
Vegan Grillkorv 400g Peas of Heaven,"48,90 kr","0.4kg 122,25 kr/kg",180 kcal,14 g,4.4 g,3.4 g,0.6 g,,6.8 g,2 g,1.25 µg,,730 kJ,,0.23 mg,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegan-grillkorv-400g-peas-of-heaven/2120488
Havredryck Iskaffe Vanilj Glutenfri 1000ml Oddlygood®,"32,90 kr","1L 32,90 kr/l",58 kcal,1.5 g,0.2 g,9.9 g,5.7 g,,1.3 g,0.13 g,0.4 µg,,246 kJ,1 µg,0.21 mg,120 mg,22.5 µg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-iskaffe-vanilj-glutenfri-1000ml-oddlygood/2151540
Greek White Block 200g Violife,"43,90 kr","0.2kg 219,50 kr/kg u. spad",305 kcal,29 g,26 g,11 g,0 g,,0 g,1.7 g,2.5 µg,,1260 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/greek-white-block-200g-violife/2033567
Tofu naturell Ekologisk 230g KRAV Yi Pin,"32,90 kr","0.23kg 143,04 kr/kg",127 kcal,6.6 g,1 g,2.2 g,0.5 g,,14.6 g,0.03 g,,2.4 mg,530 kJ,,,150 mg,,,1.2 g,,,4.2 g,,100 mg,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tofu-naturell-ekologisk-230g-krav-yi-pin/2056543
Tofu Teriyaki Ekologisk 170g Peas of Heaven,"27,90 kr","0.17kg 164,12 kr/kg",159 kcal,8.8 g,1.3 g,3 g,1 g,,16.9 g,1 g,,,667 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/tofu-teriyaki-ekologisk-170g-peas-of-heaven/2153855
Pastej vegetarisk bredbar kryddad med Karl-Johansvamp 200g Pastejköket,"26,90 kr","0.2kg 134,50 kr/kg",250 kcal,20 g,1.4 g,12 g,1.3 g,,4.9 g,1.3 g,,,1050 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pastej-vegetarisk-bredbar-kryddad-med-karl-johansvamp-200g-pastejk%C3%B6ket/1526670
"Mandeldryck Osötad 1,1% 1l Alpro","33,90 kr","1L 33,90 kr/l",15 kcal,1.1 g,0.1 g,0 g,0 g,0.3 g,0.5 g,0.15 g,0.38 µg,,61 kJ,0.75 µg,0.21 mg,120 mg,,,,,,,,,,1.8 mg,,https://handlaprivatkund.ica.se/stores/1004181/products/mandeldryck-os%C3%B6tad-1-1-1l-alpro/1447467
Havredryck 1% 1l ICA Basic,"15,90 kr","1L 15,90 kr/l",44 kcal,1 g,0.1 g,7.6 g,2.5 g,,0.8 g,0.1 g,0.38 µg,,185 kJ,1 µg,0.21 mg,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-1-1l-ica-basic/2157295
"Havredryck Ekologisk 0,5% 1l Oatly","26,90 kr","1L 26,90 kr/l",39 kcal,0.5 g,0.1 g,7.2 g,3.4 g,0.8 g,1.1 g,0.1 g,,,166 kJ,1.1 µg,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-ekologisk-0-5-1l-oatly/1475744
Plant-based Nuggets 700g Hälsans Kök,"107,00 kr","0.7kg 152,86 kr/kg",222 kcal,11 g,1.2 g,14 g,0.6 g,5.5 g,14 g,1 g,,,927 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/plant-based-nuggets-700g-h%C3%A4lsans-k%C3%B6k/2101405
Vego-Cabanossy Kryddig 250g ICA,"41,90 kr","0.25kg 167,60 kr/kg",211 kcal,19.6 g,1.5 g,2 g,0.8 g,,6.6 g,1.9 g,,,871 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vego-cabanossy-kryddig-250g-ica/2050754
Havredryck Matcha 1000ml Oatly,"39,90 kr","1L 39,90 kr/l",68 kcal,2.8 g,0.3 g,7.8 g,4.5 g,1 g,1.1 g,0.15 g,,,285 kJ,,,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-matcha-1000ml-oatly/2171390
"Havredryck Barista 2,8% 1000ml Fazer Aito","22,90 kr","1L 22,90 kr/l",62 kcal,2.8 g,0.2 g,7.8 g,3.5 g,,1 g,0.1 g,0.38 µg,,256 kJ,1 µg,0.21 mg,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-barista-2-8-1000ml-fazer-aito/2128355
Vegokorv Glutenfri Fryst 840g Anamma,"114,00 kr","0.84kg 135,71 kr/kg",174 kcal,12 g,0.9 g,4.8 g,1.4 g,4.5 g,11 g,1.5 g,,,729 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vegokorv-glutenfri-fryst-840g-anamma/2011353
"Havredryck Mellan 1,5% 1l Oatly","22,90 kr","1L 22,90 kr/l",48 kcal,1.5 g,0.2 g,7 g,3.4 g,0.8 g,1.1 g,0.1 g,0.24 µg,,200 kJ,1.1 µg,0.21 mg,120 mg,22.5 µg,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-mellan-1-5-1l-oatly/2107757
Surskalle Gelatinfri 190g Fairtrade Bubs,"24,90 kr","0.19kg 131,05 kr/kg",345 kcal,0 g,0 g,84 g,47 g,,0 g,0 g,,,1442 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/surskalle-gelatinfri-190g-fairtrade-bubs/1499727
Godis Jättesalt 65g Konfekta,"13,90 kr","0.065kg 213,85 kr/kg",368 kcal,0 g,0 g,91.3 g,64.5 g,,0.4 g,0 g,,,1538 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/godis-j%C3%A4ttesalt-65g-konfekta/1007052
Havredryck Professional Barista 1000ml Fazer Aito,"29,90 kr","1L 29,90 kr/l",62 kcal,3 g,0.3 g,7.8 g,1.6 g,,1.1 g,0.1 g,0.38 µg,,260 kJ,1 µg,0.21 mg,120 mg,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/havredryck-professional-barista-1000ml-fazer-aito/2169091
Leifs Köttfria Köttbullar 500g Dafgård,"62,00 kr","0.5kg 124,00 kr/kg",187 kcal,10 g,0.8 g,10 g,2.3 g,2.7 g,13 g,1.3 g,,,783 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/leifs-k%C3%B6ttfria-k%C3%B6ttbullar-500g-dafg%C3%A5rd/2054893
Gelégodis Hallon & saltlakrits Vegansk 70g Wellibites,"36,90 kr","0.07kg 527,14 kr/kg",190 kcal,0 g,0 g,89 g,0 g,,2.5 g,0.1 g,,,795 kJ,,,,,,0 g,73 g,,0 g,,,,,0.35 mg,https://handlaprivatkund.ica.se/stores/1004181/products/gel%C3%A9godis-hallon-saltlakrits-vegansk-70g-wellibites/2039406
Glass Vanilj Vegansk 750ml Laktosfri Choice,"42,90 kr","0.75L 57,20 kr/l",92 kcal,3.1 g,2.6 g,15 g,12 g,,0.54 g,0.11 g,,,389 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/glass-vanilj-vegansk-750ml-laktosfri-choice/1529572
Vego-Grillare 280g ICA,"41,90 kr","0.28kg 149,64 kr/kg",212 kcal,19.4 g,1.5 g,3.1 g,2.5 g,,6.3 g,1.9 g,,,878 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/vego-grillare-280g-ica/2050755
Pinsabotten Glutenfri 180g Zeta,"61,00 kr","0.18kg 338,89 kr/kg",220 kcal,6.3 g,0.7 g,40 g,2 g,3.7 g,2.2 g,1.8 g,,,979 kJ,,,,,,,,0.72 g,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/pinsabotten-glutenfri-180g-zeta/2154355
Delikatessbullar Vegetariska 340g Felix,"60,00 kr","0.34kg 176,47 kr/kg",213 kcal,13 g,1.1 g,8.7 g,1.5 g,4.2 g,11 g,1.5 g,,,891 kJ,,,,,,,,,,,,,,,https://handlaprivatkund.ica.se/stores/1004181/products/delikatessbullar-vegetariska-340g-felix/2077776
